"Year"	"LAName"	"LACode"	"Advanced Conversion Technologies"	"Anaerobic Digestion"	"Biomass (dedicated)"	"EfW Incineration"	"Landfill Gas"	"Large Hydro"	"Shoreline wave / tidal"	"Small Hydro"	"Solar Photovoltaics"	"Wind Offshore"	"Wind Onshore"	"Total"
2003	"Argyll and Bute"	"S12000035"	0	0	0	0	0	14	0	4.4	0	0	81.4	99.8
2003	"City of Edinburgh"	"S12000036"	0	0	0	0	2.4	0	0	0	0	0	0	2.4
2003	"Clackmannanshire"	"S12000005"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"Dumfries and Galloway"	"S12000006"	0	0	0	0	0	0	0	0	0	0	21.6	21.6
2003	"Dundee City"	"S12000042"	0	0	0	8.3	0	0	0	0	0	0	0	8.3
2003	"East Ayrshire"	"S12000008"	0	0	0	0	6.7	0	0	0	0	0	13.2	19.9
2003	"East Dunbartonshire"	"S12000045"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"East Lothian"	"S12000010"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"East Renfrewshire"	"S12000011"	0	0	0	0	0	0	0	0	0	0	6.5	6.5
2003	"Falkirk"	"S12000014"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"Fife"	"S12000047"	0	0	12.5	0	0	0	0	0	0	0	0	12.5
2003	"Glasgow City"	"S12000049"	0	0	0	0	6.7	0	0	0	0	0	0	6.7
2003	"Highland"	"S12000017"	0	0	0	0	0	268.7	0	20.7	0	0	33.5	322.9
2003	"Inverclyde"	"S12000018"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"Midlothian"	"S12000019"	0	0	0	0	2.2	0	0	0	0	0	48.4	50.6
2003	"Moray"	"S12000020"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"Na h-Eileanan Siar"	"S12000013"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"North Ayrshire"	"S12000021"	0	0	0	0	0	0	0	0	0	0	24	24
2003	"North Lanarkshire"	"S12000050"	0	0	0	0	14.5	0	0	0	0	0	0	14.5
2003	"Offshore"	NA	0	0	0	0	0	0	0	0	0	0	0	0
2003	"Orkney Islands"	"S12000023"	0	0	0	0	0	0	0	0	0	0	9.2	9.2
2003	"Perth and Kinross"	"S12000048"	0	0	0	0	0	21.4	0	15.1	0	0	0	36.5
2003	"Renfrewshire"	"S12000038"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"Scottish Borders"	"S12000026"	0	0	0	0	0	0	0	0	0	0	30	30
2003	"Shetland Islands"	"S12000027"	0	0	0	0	0	0	0	0	0	0	3.7	3.7
2003	"South Ayrshire"	"S12000028"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"South Lanarkshire"	"S12000029"	0	0	0	0	0	0	0	0	0	0	15.6	15.6
2003	"Stirling"	"S12000030"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"West Dunbartonshire"	"S12000039"	0	0	0	0	2.1	0	0	0	0	0	0	2.1
2003	"West Lothian"	"S12000040"	0	0	0	0	0	0	0	0	0	0	0	0
2004	"Aberdeen City"	"S12000033"	0	0	0	0	2.2	0	0	0	0	0	0	2.2
2004	"Aberdeenshire"	"S12000034"	0	0	0	0	0	0	0	0	0	0	0	0
2004	"Angus"	"S12000041"	0	0	0	0	2	0	0	0	0	0	0	2
2004	"Argyll and Bute"	"S12000035"	0	0	0	0	0	14	0	4.4	0	0	114.7	133.1
2004	"City of Edinburgh"	"S12000036"	0	0	0	0	2.4	0	0	0	0	0	0	2.4
2004	"Clackmannanshire"	"S12000005"	0	0	0	0	0	0	0	0	0	0	0	0
2004	"Dumfries and Galloway"	"S12000006"	0	0	0	0	0	0	0	0	0	0	21.6	21.6
2004	"Dundee City"	"S12000042"	0	0	0	8.3	0	0	0	0	0	0	0	8.3
2004	"East Ayrshire"	"S12000008"	0	0	0	0	6.7	0	0	0	0	0	13.2	19.9
2004	"East Dunbartonshire"	"S12000045"	0	0	0	0	0	0	0	0	0	0	0	0
2004	"East Lothian"	"S12000010"	0	0	0	0	16.2	0	0	0	0	0	0	16.2
2004	"East Renfrewshire"	"S12000011"	0	0	0	0	0	0	0	0	0	0	6.5	6.5
2004	"Falkirk"	"S12000014"	0	0	0	0	0	0	0	0	0	0	0	0
2004	"Fife"	"S12000047"	0	0	12.5	0	0	0	0	0	0	0	0	12.5
2004	"Glasgow City"	"S12000049"	0	0	0	0	6.7	0	0	0	0	0	0	6.7
2004	"Highland"	"S12000017"	0	0	0	0	0	268.7	0	20.7	0	0	81.8	371.2
2004	"Inverclyde"	"S12000018"	0	0	0	0	0	0	0	0	0	0	0	0
2004	"Midlothian"	"S12000019"	0	0	0	0	2.2	0	0	0	0	0	48.4	50.6
2004	"Moray"	"S12000020"	0	0	0	0	0	0	0	0	0	0	0	0
2004	"Na h-Eileanan Siar"	"S12000013"	0	0	0	0	0	0	0	0	0	0	0	0
2004	"North Ayrshire"	"S12000021"	0	0	0	0	1.2	0	0	0	0	0	24	25.2
2004	"North Lanarkshire"	"S12000050"	0	0	0	0	14.5	0	0	0	0	0	0	14.5
2004	"Offshore"	NA	0	0	0	0	0	0	0	0	0	0	174.6	174.6
2004	"Orkney Islands"	"S12000023"	0	0	0	0	0	0	0	0	0	0	9.2	9.2
2004	"Perth and Kinross"	"S12000048"	0	0	0	0	1.9	32.4	0	15.1	0	0	0	49.4
2004	"Renfrewshire"	"S12000038"	0	0	0	0	0	0	0	0	0	0	0	0
2004	"Scottish Borders"	"S12000026"	0	0	0	0	0	0	0	0	0	0	92.5	92.5
2004	"Shetland Islands"	"S12000027"	0	0	0	0	0	0	0	0	0	0	3.7	3.7
2004	"South Ayrshire"	"S12000028"	0	0	0	0	0	0	0	0	0	0	0	0
2004	"South Lanarkshire"	"S12000029"	0	0	0	0	0	0	0	0	0	0	15.6	15.6
2004	"Stirling"	"S12000030"	0	0	0	0	0	0	0	0	0	0	0	0
2004	"West Dunbartonshire"	"S12000039"	0	0	0	0	2.1	0	0	0	0	0	0	2.1
2004	"West Lothian"	"S12000040"	0	0	0	0	0	0	0	0	0	0	0	0
2005	"Aberdeen City"	"S12000033"	0	0	0	0	2.2	0	0	0	0	0	0	2.2
2005	"Aberdeenshire"	"S12000034"	0	0	0	0	6.5	0	0	0	0	0	28.5	35
2005	"Angus"	"S12000041"	0	0	0	0	2	0	0	0	0	0	0	2
