"Year"	"LAName"	"LACode"	"Onshore Wind"	"Offshore Wind"	"Hydro"	"Solar photovoltaics"	"Shoreline wave / tidal"	"Biomass and Energy from Waste"	"Total Renewable"
2011	"Angus"	"S12000041"	0	0	0	0	0	2	2
2011	"Argyll and Bute"	"S12000035"	155	0	23.6	0	0	0	178.6
2011	"City of Edinburgh"	"S12000036"	0	0	0	0	0	2.4	2.4
2011	"Clackmannanshire"	"S12000005"	26	0	0	0	0	0	26
2011	"Dumfries and Galloway"	"S12000006"	158.1	0	0	0	0	50.4	208.5
2011	"Dundee City"	"S12000042"	4	0	0	0	0	8.3	12.3
2011	"East Ayrshire"	"S12000008"	13.2	0	0	0	0	6.7	19.9
2011	"East Dunbartonshire"	"S12000045"	0	0	0	0	0	0	0
2011	"East Lothian"	"S12000010"	48	0	0	0	0	16.2	64.2
2011	"East Renfrewshire"	"S12000011"	6.5	0	0	0	0	0	6.5
2011	"Falkirk"	"S12000014"	0	0	0	0	0	0	0
2011	"Fife"	"S12000047"	3	0	0	0	0	15.5	18.5
2011	"Glasgow City"	"S12000049"	0	0	0	0	0	6.7	6.7
2011	"Highland"	"S12000017"	517	0	409.3	0	0	5	931.3
2011	"Inverclyde"	"S12000018"	0	0	0	0	0	0	0
2011	"Midlothian"	"S12000019"	48.4	0	0	0	0	6.2	54.6
2011	"Moray"	"S12000020"	0	0	0	0	0	0	0
2011	"Na h-Eileanan Siar"	"S12000013"	3.9	0	0	0	0	0	3.9
2011	"North Ayrshire"	"S12000021"	48	0	0	0	0	27.2	75.2
2011	"North Lanarkshire"	"S12000050"	4	0	0	0	0	24.3	28.3
2011	"Offshore"	NA	737.6	184	0	0	0	0	921.6
2011	"Orkney Islands"	"S12000023"	24.6	0	0	0	1	0	25.6
2011	"Perth and Kinross"	"S12000048"	73.4	0	51.9	0	0	1.9	127.2
2011	"Renfrewshire"	"S12000038"	0	0	0	0	0	0	0
