"Year"	"LA"	"Advanced Conversion Technologies"	"Anaerobic Digestion"	"Biomass (dedicated)"	"EfW Incineration"	"Landfill Gas"	"Large Hydro"	"Shoreline wave / tidal"	"Small Hydro"	"Solar Photovoltaics"	"Wind Offshore"	"Wind Onshore"	"Total"
2005	"East Ayrshire"	0	0	0	0	6.7	0	0	0	0	0	13.2	19.9
2005	"East Lothian"	0	0	0	0	16.2	0	0	0	0	0	0	16.2
2005	"East Renfrewshire"	0	0	0	0	0	0	0	0	0	0	6.5	6.5
2005	"Falkirk"	0	0	0	0	0	0	0	0	0	0	0	0
2005	"Fife"	0	0	12.5	0	0	0	0	0	0	0	0	12.5
2005	"Glasgow City"	0	0	0	0	6.7	0	0	0	0	0	0	6.7
2005	"Highland"	0	0	0	0	0	268.7	0	26.2	0	0	216.6	511.5
2005	"Midlothian"	0	0	0	0	4.2	0	0	0	0	0	48.4	52.6
2005	"Moray"	0	0	0	0	0	0	0	0	0	0	50.6	50.6
2005	"North Ayrshire"	0	0	0	0	1.2	0	0	0	0	0	24	25.2
2005	"North Lanarkshire"	0	0	0	0	14.5	0	0	0	0	0	0	14.5
2005	"Offshore"	0	0	0	0	0	0	0	0	0	0	0	0
2005	"Orkney Islands"	0	0	0	0	0	0	0	0	0	0	9.2	9.2
2005	"Perth and Kinross"	0	0	0	0	1.9	32.4	0	15.1	0	0	0	49.4
2005	"Scottish Borders"	0	0	0	0	0	0	0	0	0	0	92.5	92.5
2005	"Shetland Islands"	0	0	0	0	0	0	0	0	0	0	3.7	3.7
2005	"South Ayrshire"	0	0	0	0	0	0	0	0	0	0	0	0
2005	"South Lanarkshire"	0	0	0	0	0	0	0	0	0	0	139.6	139.6
2005	"Stirling"	0	0	0	0	0	0	0	0	0	0	0	0
2005	"West Dunbartonshire"	0	0	0	0	4.1	0	0	0	0	0	0	4.1
2005	"West Lothian"	0	0	0	0	0	0	0	0	0	0	0	0
2006	"Aberdeen City"	0	0	0	0	2.2	0	0	0	0	0	0	2.2
2006	"Aberdeenshire"	0	0	0	0	6.5	0	0	0	0	0	45.2	51.7
2006	"Angus"	0	0	0	0	2	0	0	0	0	0	0	2
2006	"Argyll and Bute"	0	0	0	0	0	14	0	6.6	0	0	114.7	135.3
2006	"City of Edinburgh"	0	0	0	0	2.4	0	0	0	0	0	0	2.4
2006	"Clackmannanshire"	0	0	0	0	0	0	0	0	0	0	0	0
2006	"Comhairle nan Eilean Siar"	0	0	0	0	0	0	0	0	0	0	3.9	3.9
2006	"Dumfries and Galloway"	0	0	0	0	0	0	0	0	0	0	41.1	41.1
2006	"Dundee City"	0	0	0	8.3	0	0	0	0	0	0	4	12.3
2006	"East Ayrshire"	0	0	0	0	6.7	0	0	0	0	0	13.2	19.9
2006	"East Lothian"	0	0	0	0	16.2	0	0	0	0	0	0	16.2
2006	"East Renfrewshire"	0	0	0	0	0	0	0	0	0	0	6.5	6.5
2006	"Falkirk"	0	0	0	0	0	0	0	0	0	0	0	0
2006	"Fife"	0	0	12.5	0	2	0	0	0	0	0	0	14.5
2006	"Glasgow City"	0	0	0	0	6.7	0	0	0	0	0	0	6.7
2006	"Highland"	0	0	0	0	0	276.2	0	26.2	0	0	216.6	519
2006	"Midlothian"	0	0	0	0	6.2	0	0	0	0	0	48.4	54.6
2006	"Moray"	0	0	0	0	0	0	0	0	0	0	115.6	115.6
2006	"North Ayrshire"	0	0	0	0	1.2	0	0	0	0	0	42	43.2
2006	"North Lanarkshire"	0	0	0	0	18.5	0	0	0	0	0	0	18.5
2006	"Offshore"	0	0	0	0	0	0	0	0	0	0	0	0
2006	"Orkney Islands"	0	0	0	0	0	0	0	0	0	0	14.2	14.2
2006	"Perth and Kinross"	0	0	0	0	1.9	32.4	0	15.1	0	0	0	49.4
2006	"Scottish Borders"	0	0	0	0	0	0	0	0	0	0	92.5	92.5
2006	"Shetland Islands"	0	0	0	0	0	0	0	0	0	0	3.7	3.7
2006	"South Ayrshire"	0	0	0	0	0	0	0	0	0	0	120	120
2006	"South Lanarkshire"	0	0	0	0	7.4	0	0	0	0	0	139.6	147
2006	"Stirling"	0	0	0	0	0	0	0	0	0	0	72	72
2006	"West Dunbartonshire"	0	0	0	0	4.1	0	0	0	0	0	0	4.1
2006	"West Lothian"	0	0	0	0	0	0	0	0	0	0	0	0
2007	"Aberdeen City"	0	0	0	0	2.2	0	0	0	0	0	0	2.2
2007	"Aberdeenshire"	0	0	0	0	6.5	0	0	0	0	0	59.5	66
2007	"Angus"	0	0	0	0	2	0	0	0	0	0	0	2
2007	"Argyll and Bute"	0	0	0	0	0	14	0	6.6	0	0	114.7	135.3
2007	"City of Edinburgh"	0	0	0	0	2.4	0	0	0	0	0	0	2.4
2007	"Clackmannanshire"	0	0	0	0	0	0	0	0	0	0	0	0
2007	"Comhairle nan Eilean Siar"	0	0	0	0	0	0	0	0	0	0	3.9	3.9
2007	"Dumfries and Galloway"	0	0	50.4	0	0	0	0	0	0	0	69.3	119.7
2007	"Dundee City"	0	0	0	8.3	0	0	0	0	0	0	4	12.3
2007	"East Ayrshire"	0	0	0	0	6.7	0	0	0	0	0	13.2	19.9
2007	"East Lothian"	0	0	0	0	16.2	0	0	0	0	0	0	16.2
2007	"East Renfrewshire"	0	0	0	0	0	0	0	0	0	0	328.5	328.5
2007	"Falkirk"	0	0	0	0	0	0	0	0	0	0	0	0
2007	"Fife"	0	0	12.5	0	3	0	0	0	0	0	0	15.5
2007	"Glasgow City"	0	0	0	0	6.7	0	0	0	0	0	0	6.7
2007	"Highland"	0	0	0	0	0	276.2	0	29.2	0	0	244.8	550.2
2007	"Midlothian"	0	0	0	0	6.2	0	0	0	0	0	48.4	54.6
2007	"Moray"	0	0	0	0	0	0	0	0	0	0	115.6	115.6
2007	"North Ayrshire"	0	0	0	0	1.2	0	0	0	0	0	42	43.2
2007	"North Lanarkshire"	0	0	0	0	18.5	0	0	0	0	0	4	22.5
2007	"Offshore"	0	0	0	0	0	0	0	0	0	10	0	10
2007	"Orkney Islands"	0	0	0	0	0	0	0	0	0	0	14.2	14.2
2007	"Perth and Kinross"	0	0	0	0	1.9	32.4	0	15.1	0	0	0	49.4
2007	"Scottish Borders"	0	0	0	0	0	0	0	0	0	0	121.1	121.1
2007	"Shetland Islands"	0	0	0	0	0	0	0	0	0	0	3.7	3.7
2007	"South Ayrshire"	0	0	0	0	0	0	0	0	0	0	120	120
2007	"South Lanarkshire"	0	0	0	0	7.4	0	0	0	0	0	139.6	147
2007	"Stirling"	0	0	0	0	0	0	0	0	0	0	109.5	109.5
2007	"West Dunbartonshire"	0	0	0	0	4.1	0	0	0	0	0	0	4.1
2007	"West Lothian"	0	0	0	0	0	0	0	0	0	0	0	0
