"LAU1"	"GovernmentRegion"	"Year"	"All Fuels Total"	"Coal - Industrial & Commercial"	"Coal - Domestic"	"Coal - Rail"	"Coal - Total"	"Manufactured Fuels - Industrial"	"Manufactured Fuels - Domestic"	"Manufactured Fuels - Total"	"Petroleum Products - Industrial & Commercial"	"Petroleum Products - Domestic"	"Petroleum Products - Road transport"	"Petroleum Products - Rail"	"Petroleum Products - Public Sector"	"Petroleum Products - Agriculture"	"Petroleum Products - Total"	"Gas - Industrial & Commercial"	"Gas - Domestic"	"Gas - Total"	"Electricity - Industrial & Commercial"	"Electricity - Domestic"	"Electricity - Total"	"Bioenergy & Wastes - Total"	"Consuming Sector - Industry & Commercial"	"Consuming Sector - Domestic"	"Consuming Sector - Transport"
"S12000030"	"Stirling"	"2007"	"3567.4442832"	"3.7857750726999999"	"9.4415463353"	"0"	"13.227321408"	"3.5062542699999998E-2"	"4.9986781582999997"	"5.0337407010000002"	"103.32074942"	"77.411848938999995"	"1052.9533627999999"	"23.192865325"	"3.7602386397999998"	"58.618174523999997"	"1319.2572396999999"	"951.92713000000003"	"585.46582999999998"	"1537.3929599999999"	"336.16514999999998"	"213.70124999999999"	"549.8664"	"142.66662142000001"	"1457.6122802"	"891.01915343"	"1076.1462282"
"S92000003"	"TOTAL SCOTLAND"	"2007"	"167193.50707"	"1758.8900793"	"626.57924710999998"	"5.3284001720000003"	"2390.7977265999998"	"1028.0380029999999"	"321.71882036"	"1349.7568233"	"27245.998699"	"3874.6926039999998"	"38652.171639"	"640.08259425000006"	"244.44728852"	"2629.7086635000001"	"73287.101488999993"	"25120.76511"	"34469.342900000003"	"59590.108010000004"	"16961.273410000002"	"12001.334269999999"	"28962.607680000001"	"1613.1353412000001"	"74989.121254"	"51293.667842"	"39297.582632999998"
"S12000039"	"West Dunbartonshire"	"2007"	"2038.8471819"	"0.2456830173"	"1.8607579808000001"	"0"	"2.1064409981000001"	"0.1435971335"	"1.5240817039000001"	"1.6676788375"	"82.090995696999997"	"8.8574368074999992"	"536.24256954999998"	"0.4271620149"	"1.1538834522999999"	"7.0983481006"	"635.87039561999995"	"304.13612999999998"	"638.24276999999995"	"942.37890000000004"	"269.64155"	"181.33496"	"450.97651000000002"	"5.8472564330000001"	"664.5101874"	"831.82000649"	"536.66973155999995"
"S12000040"	"West Lothian"	"2007"	"4845.797895"	"2.1016661737"	"11.903115245"	"0"	"14.004781419"	"12.096056130999999"	"7.0769243032000002"	"19.172980433999999"	"307.92172337"	"33.042928936000003"	"1455.9622864999999"	"23.333799014"	"1.8026033055999999"	"26.496120560000001"	"1848.5594616999999"	"729.11959000000002"	"1298.44298"	"2027.5509400000001"	"602.01531999999997"	"316.45229999999998"	"918.46762000000001"	"18.042111414000001"	"1681.5530795"	"1666.9182485"	"1479.2960854999999"
"S12000033"	"Aberdeen City"	"2006"	"6013.1492316"	"12.55125518"	"4.6825476021999997"	"0"	"17.233802782000001"	"15.929800022"	"4.7991425623000001"	"20.728942584999999"	"637.24863819999996"	"27.642792051000001"	"1171.3748793"	"6.3638158854000002"	"47.287023935000001"	"11.167426717"	"1901.0845761"	"1053.0965000000001"	"1648.0175200000001"	"2701.11402"	"851.29273999999998"	"504.61407000000003"	"1355.90681"	"17.081080110999999"	"2628.5733841"	"2189.7560722"	"1177.7386951999999"
"S12000034"	"Aberdeenshire"	"2006"	"7094.5570031"	"46.042057474000003"	"50.425676093"	"0"	"96.467733566999996"	"19.190040806999999"	"31.774202175999999"	"50.964242982999998"	"623.42903497999998"	"812.12784483999997"	"2173.6390265"	"18.322891969000001"	"8.0513361308999993"	"345.80986515000001"	"3981.3799995999998"	"406.32893999999999"	"1167.9427499999999"	"1574.27169"	"698.60247000000004"	"645.70923000000005"	"1344.3117"	"47.161636985999998"	"2147.4537446"	"2707.9797031"	"2191.9619183999998"
"S12000041"	"Angus"	"2006"	"3050.0681555"	"20.973966401999999"	"13.316998663"	"2.54806671E-2"	"34.316445731999998"	"0"	"9.0587213694000006"	"9.0587213694000006"	"220.61876272999999"	"174.40969240000001"	"871.74633516999995"	"10.497792670000001"	"0.97777178119999997"	"82.015513287000005"	"1360.265868"	"316.85935000000001"	"692.10130000000004"	"1008.96065"	"324.13972999999999"	"296.29750999999999"	"620.42561000000001"	"17.040860326000001"	"965.5850942"	"1185.1842224"	"882.26960851000001"
"S12000035"	"Argyll and Bute"	"2006"	"2601.5578683"	"14.534659268"	"33.456852882"	"0"	"47.991512149999998"	"0.2446196632"	"19.483001355999999"	"19.727621019000001"	"333.45874415999998"	"186.80558488"	"676.68069025"	"5.1469709042999998"	"68.509374108000003"	"113.70518921999999"	"1384.3065535000001"	"173.29863"	"400.00222000000002"	"573.30084999999997"	"237.53111999999999"	"318.39451000000003"	"555.92562999999996"	"20.305701635999998"	"941.28233641"	"958.14216912"	"681.82766116000005"
"S12000036"	"City of Edinburgh"	"2006"	"11541.332583"	"1.7183428391"	"7.9086332628999996"	"0"	"9.6269761020000004"	"0.36972018880000002"	"8.5020680154000008"	"8.8717882042999996"	"261.15406089999999"	"23.691388182000001"	"2859.0912136000002"	"29.871731280999999"	"10.969498339999999"	"10.140328256"	"3194.9182205000002"	"2180.6482599999999"	"3317.9924799999999"	"5498.6407399999998"	"1781.5997"	"1016.1014699999999"	"2797.7011699999998"	"31.573688218000001"	"4246.5999105"	"4374.1960395"	"2888.9629448000001"
"S12000005"	"Clackmannanshire"	"2006"	"1552.8885156"	"0.91129024690000004"	"2.9812094863"	"0"	"3.8924997332000002"	"0"	"2.2483365464"	"2.2483365464"	"51.843784155000002"	"12.67159814"	"230.62121528"	"49.851941642"	"0.25346780200000002"	"9.5907634221000002"	"354.83277043999999"	"469.06115999999997"	"382.78982000000002"	"851.83934999999997"	"232.16969"	"102.5766"	"334.74628999999999"	"5.3292688632000003"	"763.83015563"	"503.26756417"	"280.47315692000001"
"S12000006"	"Dumfries and Galloway"	"2006"	"5552.5884623"	"26.606807224000001"	"37.023970685000002"	"0"	"63.630777909000003"	"0.61745506380000004"	"22.332518653000001"	"22.949973716999999"	"358.11033569"	"373.87632586000001"	"1939.4513755999999"	"46.391632606999998"	"6.8183201233000004"	"480.38893445000002"	"3205.0369243999999"	"573.84745999999996"	"719.33875999999998"	"1293.18622"	"505.83521999999999"	"389.04676000000001"	"894.88198"	"72.902586348"	"1952.2245325"	"1541.6183352"	"1985.8430082"
"S12000042"	"Dundee City"	"2006"	"3550.5273292"	"7.0281950999999997E-3"	"3.1030689403"	"0"	"3.1100971353000002"	"1.9993704730999999"	"3.6101004453000001"	"5.6094709183999996"	"223.1650765"	"6.4211604497000003"	"748.95287504999999"	"3.7269626046000002"	"0.8779391285"	"1.0848370262"	"984.22885074999999"	"744.26184999999998"	"907.02369999999996"	"1651.2855500000001"	"502.29969999999997"	"389.72129999999999"	"892.02099999999996"	"14.272360365000001"	"1473.6958013"	"1309.8793298"	"752.67983764999997"
"S12000008"	"East Ayrshire"	"2006"	"3313.1183605"	"6.4289172526999998"	"7.4680241302999999"	"0"	"13.896941383"	"0.1223098374"	"5.3569843511000004"	"5.4792941884999999"	"142.93213939"	"53.100968361"	"889.04476717"	"23.696623322000001"	"3.3634321227999999"	"92.925356949000005"	"1205.0632873"	"434.33398"	"964.96436000000006"	"1399.2983400000001"	"291.43617"	"220.76066"	"512.20845999999995"	"177.17203767000001"	"971.54230555"	"1251.6509968"	"912.74139048999996"
"S12000045"	"East Dunbartonshire"	"2006"	"2178.2062355"	"9.0240775300000006E-2"	"2.4860580959999998"	"0"	"2.5762988713000001"	"0.49677322870000001"	"2.6732335838000001"	"3.1700068125"	"52.070131844000002"	"10.977432629000001"	"487.23964689000002"	"52.667199332000003"	"0.42435325359999998"	"8.6982753961999997"	"612.07703934000006"	"164.20397"	"955.77665999999999"	"1119.98063"	"217.44611"	"213.02671000000001"	"430.47282000000001"	"9.9294404310999997"	"443.4298545"	"1184.9400943"	"539.90684622000003"
"S12000010"	"East Lothian"	"2006"	"3269.0054981"	"373.94620262000001"	"13.155623726"	"0"	"387.10182635000001"	"215.68130669000001"	"8.2500721759999998"	"223.93137887"	"103.75935944"	"72.551783412999995"	"751.26164997000001"	"1.9345093118000001"	"2.6861861938999998"	"36.910155666999998"	"969.10364400000003"	"208.0607"	"654.24564999999996"	"862.30634999999995"	"296.14632"	"207.83973"	"503.98604999999998"	"322.57624886000002"	"1237.1902306"	"956.04285931"	"753.19615927999996"
"S12000011"	"East Renfrewshire"	"2006"	"1955.2306591"	"0.27857263409999999"	"1.7655564523"	"0"	"2.0441290862999999"	"7.0084391999999995E-2"	"2.0335113615"	"2.1035957535000001"	"24.280408442999999"	"12.173765418"	"637.46044828000004"	"15.436166754"	"0.61178836950000004"	"14.743578378"	"704.70615564000002"	"149.41060999999999"	"793.85217"	"943.26278000000002"	"107.51935"	"187.62679"	"295.13450999999998"	"7.9794886191999996"	"296.91439222"	"997.45179323"	"652.89661503000002"
"S12000014"	"Falkirk"	"2006"	"21010.092748"	"1.3848641144"	"10.551616845"	"0.53803415430000001"	"12.474515113000001"	"577.06676297000001"	"7.2037877740000003"	"584.27055074999998"	"16193.371415"	"31.559847993999998"	"1252.6529485999999"	"40.324362684"	"4.9733282588999996"	"22.363008837999999"	"17545.244911000002"	"936.94768999999997"	"1110.47892"	"2047.42661"	"473.68990000000002"	"333.30417"	"806.99406999999997"	"13.682090891"	"18209.796969"	"1493.0983426"	"1293.5153453999999"
