SETTLEMENT_DATE,SETTLEMENT_PERIOD,Total
2009-01-07,25,53143
2009-01-07,24,52980
2009-01-07,23,53048
2009-01-07,22,52991
2009-01-07,21,52797
2009-01-07,20,52586
2009-01-07,19,51984
2009-01-07,18,50786
2009-01-07,17,50918
2009-01-07,16,49804
2009-01-07,15,47328
2009-01-07,14,43551
2009-01-07,13,40323
2009-01-07,12,37594
2009-01-07,11,36942
2009-01-07,10,36743
2009-01-07,9,36841
2009-01-08,48,37481
2009-01-08,47,38836
2009-01-08,46,41281
2009-01-08,45,43445
2009-01-08,44,45620
2009-01-08,43,48056
2009-01-08,42,49876
2009-01-08,41,51616
2009-01-08,40,52673
2009-01-08,39,54056
2009-01-08,38,55453
2009-01-08,37,56332
2009-01-08,36,57033
2009-01-08,35,57352
2009-01-08,34,56466
2009-01-08,33,53422
2009-01-08,32,51145
2009-01-08,31,50193
2009-01-08,30,50115
2009-01-08,29,50336
2009-01-08,28,50235
2009-01-08,27,50570
2009-01-08,26,50612
2009-01-08,25,50862
2009-01-08,24,50854
2009-01-08,23,50798
2009-01-08,22,50759
2009-01-08,21,50723
2009-01-08,20,50795
2009-01-08,19,50417
2009-01-08,18,49644
2009-01-08,17,49797
2009-01-08,16,48893
2009-01-08,15,46469
2009-01-08,14,42449
2009-01-08,13,39198
2009-01-08,12,36272
2009-01-08,11,35538
2009-01-08,10,35349
2009-01-08,9,35658
2009-01-08,8,36201
2009-01-08,7,36701
2009-01-08,6,37317
2009-01-08,5,37047
2009-01-08,4,37340
2009-01-08,3,37977
2009-01-08,2,38113
2009-01-08,1,38169
2009-01-09,48,38697
2009-01-09,47,39663
2009-01-09,46,41720
2009-01-09,45,43001
2009-01-09,44,44750
2009-01-09,43,46788
2009-01-09,42,48267
2009-01-09,41,49888
2009-01-09,40,51700
2009-01-09,39,53190
2009-01-09,38,54576
2009-01-09,37,55620
2009-01-09,36,56369
2009-01-09,35,56950
2009-01-09,34,55683
2009-01-09,33,52254
2009-01-09,32,50443
2009-01-09,31,49699
2009-01-09,30,49919
2009-01-09,29,50216
2009-01-09,28,50386
2009-01-09,27,50788
2009-01-09,26,51134
2009-01-09,25,51584
2009-01-09,24,51639
2009-01-09,23,51768
2009-01-09,22,51659
2009-01-09,21,51628
2009-01-09,20,51388
2009-01-09,19,51053
2009-01-09,18,49986
2009-01-09,17,49892
2009-01-09,16,48901
2009-01-09,15,46199
2009-01-09,14,42164
2009-01-09,13,38919
2009-01-09,12,36276
2009-01-09,11,35535
2009-01-09,10,35311
2009-01-09,9,35492
2009-01-09,8,36095
2009-01-09,7,36745
2009-01-09,6,37219
2009-01-09,5,36981
2009-01-09,4,37295
2009-01-09,3,37848
2009-01-09,2,37874
2009-01-09,1,37949
2009-01-10,48,37184
2009-01-10,47,38110
2009-01-10,46,39735
2009-01-10,45,40759
2009-01-10,44,42345
2009-01-10,43,43794
2009-01-10,42,45223
2009-01-10,41,46805
2009-01-10,40,48118
2009-01-10,39,49591
2009-01-10,38,50638
2009-01-10,37,51656
2009-01-10,36,52772
2009-01-10,35,52796
2009-01-10,34,51301
2009-01-10,33,48412
2009-01-10,32,47021
2009-01-10,31,46476
2009-01-10,30,46389
2009-01-10,29,46657
2009-01-10,28,46720
2009-01-10,27,46808
2009-01-10,26,47089
2009-01-10,25,47363
2009-01-10,24,47205
2009-01-10,23,47153
2009-01-10,22,46966
2009-01-10,21,46518
2009-01-10,20,45332
2009-01-10,19,43782
2009-01-10,18,41308
2009-01-10,17,38774
2009-01-10,16,37271
2009-01-10,15,36457
2009-01-10,14,35745
2009-01-10,13,35103
2009-01-10,12,34295
2009-01-10,11,34362
2009-01-10,10,34676
2009-01-10,9,35103
2009-01-10,8,35783
2009-01-10,7,36471
2009-01-10,6,36840
2009-01-10,5,36837
2009-01-10,4,37129
2009-01-10,3,38185
2009-01-10,2,38778
2009-01-10,1,39171
2009-01-11,48,34275
2009-01-11,47,35430
2009-01-11,46,37515
2009-01-11,45,39351
2009-01-11,44,41038
2009-01-11,43,42812
2009-01-11,42,44266
2009-01-11,41,45269
2009-01-11,40,46481
2009-01-11,39,47550
2009-01-11,38,48429
2009-01-11,37,49522
2009-01-11,36,49960
2009-01-11,35,50484
2009-01-11,34,49493
2009-01-11,33,47331
2009-01-11,32,45087
2009-01-11,31,44241
2009-01-11,30,44204
2009-01-11,29,44378
2009-01-11,28,44555
2009-01-11,27,44666
2009-01-11,26,45042
2009-01-11,25,44797
2009-01-11,24,44110
2009-01-11,23,43580
2009-01-11,22,42582
2009-01-11,21,41263
2009-01-11,20,39372
2009-01-11,19,37432
2009-01-11,18,35293
2009-01-11,17,33531
2009-01-11,16,32397
2009-01-11,15,32484
2009-01-11,14,32537
2009-01-11,13,32487
2009-01-11,12,32188
2009-01-11,11,32311
2009-01-11,10,32600
2009-01-11,9,33124
2009-01-11,8,33968
2009-01-11,7,34727
2009-01-11,6,35329
2009-01-11,5,35287
2009-01-11,4,35865
2009-01-11,3,36819
2009-01-11,2,37451
2009-01-11,1,37899
2009-01-12,48,35579
2009-01-12,47,36962
2009-01-12,46,39237
2009-01-12,45,41374
2009-01-12,44,43306
2009-01-12,43,45687
2009-01-12,42,47328
2009-01-12,41,49021
2009-01-12,40,50854
2009-01-12,39,52196
2009-01-12,38,53465
2009-01-12,37,54391
2009-01-12,36,55425
2009-01-12,35,56365
2009-01-12,34,55352
2009-01-12,33,53236
2009-01-12,32,51278
2009-01-12,31,50107
2009-01-12,30,50240
2009-01-12,29,50489
2009-01-12,28,50406
2009-01-12,27,50490
2009-01-12,26,50557
2009-01-12,25,50722
2009-01-12,24,50378
2009-01-12,23,50194
2009-01-12,22,49899
2009-01-12,21,49678
2009-01-12,20,49519
2009-01-12,19,49023
2009-01-12,18,48121
2009-01-12,17,48343
2009-01-12,16,47135
2009-01-12,15,44410
2009-01-12,14,40110
2009-01-12,13,36721
2009-01-12,12,33419
2009-01-12,11,32404
2009-01-12,10,32076
2009-01-12,9,32275
2009-01-12,8,32826
2009-01-12,7,33529
2009-01-12,6,34002
2009-01-12,5,33904
2009-01-12,4,34116
2009-01-12,3,34739
2009-01-12,2,35031
2009-01-12,1,34980
2009-01-13,48,35946
2009-01-13,47,37246
2009-01-13,46,39518
2009-01-13,45,41491
2009-01-13,44,43556
2009-01-13,43,45911
2009-01-13,42,47729
2009-01-13,41,49599
2009-01-13,40,50575
2009-01-13,39,52109
2009-01-13,38,53293
2009-01-13,37,54057
2009-01-13,36,54883
2009-01-13,35,55271
2009-01-13,34,53743
2009-01-13,33,50420
2009-01-13,32,48663
2009-01-13,31,47755
2009-01-13,30,47810
2009-01-13,29,48126
2009-01-13,28,48018
2009-01-13,27,48266
2009-01-13,26,48267
2009-01-13,25,48597
2009-01-13,24,48442
2009-01-13,23,48282
2009-01-13,22,48314
2009-01-13,21,48181
2009-01-13,20,48083
2009-01-13,19,47837
2009-01-13,18,47067
2009-01-13,17,47277
2009-01-13,16,46696
2009-01-13,15,44347
2009-01-13,14,40259
2009-01-13,13,36996
2009-01-13,12,33905
2009-01-13,11,33011
2009-01-13,10,32717
2009-01-13,9,32983
2009-01-13,8,33595
2009-01-13,7,34303
2009-01-13,6,35005
2009-01-13,5,34967
2009-01-13,4,35221
2009-01-13,3,35852
2009-01-13,2,36036
2009-01-13,1,36208
2009-01-14,48,36352
2009-01-14,47,37933
2009-01-14,46,40447
2009-01-14,45,42435
2009-01-14,44,44578
2009-01-14,43,47088
2009-01-14,42,48298
2009-01-14,41,50651
2009-01-14,40,51853
2009-01-14,39,52962
2009-01-14,38,54313
2009-01-14,37,55238
2009-01-14,36,55994
2009-01-14,35,56595
2009-01-14,34,55237
2009-01-14,33,52262
2009-01-14,32,50389
2009-01-14,31,49084
2009-01-14,30,49293
2009-01-14,29,49561
2009-01-14,28,49572
2009-01-14,27,49540
2009-01-14,26,49786
2009-01-14,25,49999
2009-01-14,24,50052
2009-01-14,23,49743
2009-01-14,22,49697
2009-01-14,21,49661
2009-01-14,20,49509
2009-01-14,19,49152
2009-01-14,18,48381
2009-01-14,17,48805
2009-01-14,16,48092
2009-01-14,15,45619
2009-01-14,14,41393
2009-01-14,13,37989
2009-01-14,12,34823
2009-01-14,11,33933
2009-01-14,10,33616
2009-01-14,9,33840
2009-01-14,8,34459
2009-01-14,7,35187
2009-01-14,6,35454
2009-01-14,5,35400
2009-01-14,4,35539
2009-01-14,3,36065
2009-01-14,2,36363
2009-01-14,1,36485
2009-01-15,48,36018
2009-01-15,47,37405
2009-01-15,46,39982
2009-01-15,45,42090
2009-01-15,44,43847
2009-01-15,43,46062
2009-01-15,42,47892
2009-01-15,41,49600
2009-01-15,40,50620
2009-01-15,39,52066
2009-01-15,38,53295
2009-01-15,37,54022
2009-01-15,36,54646
2009-01-15,35,55210
2009-01-15,34,54050
2009-01-15,33,51578
2009-01-15,32,50022
2009-01-15,31,49145
2009-01-15,30,49330
2009-01-15,29,49597
