"Quarter"	"LAName"	"LACode"	"variable"	"value"
2015 Q4	"Dundee City"	"S12000042"	"Plug-in Hybrids"	17
2015 Q4	"East Ayrshire"	"S12000008"	"Plug-in Hybrids"	11
2015 Q4	"East Dunbartonshire"	"S12000045"	"Plug-in Hybrids"	12
2015 Q4	"East Lothian"	"S12000010"	"Plug-in Hybrids"	26
2015 Q4	"East Renfrewshire"	"S12000011"	"Plug-in Hybrids"	13
2015 Q4	"Falkirk"	"S12000014"	"Plug-in Hybrids"	14
2015 Q4	"Fife"	"S12000047"	"Plug-in Hybrids"	61
2015 Q4	"Glasgow City"	"S12000049"	"Plug-in Hybrids"	191
2015 Q4	"Highland"	"S12000017"	"Plug-in Hybrids"	33
2015 Q4	"Inverclyde"	"S12000018"	"Plug-in Hybrids"	0
2015 Q4	"Midlothian"	"S12000019"	"Plug-in Hybrids"	13
2015 Q4	"Moray"	"S12000020"	"Plug-in Hybrids"	9
2015 Q4	"Na h-Eileanan Siar"	"S12000013"	"Plug-in Hybrids"	5
2015 Q4	"North Ayrshire"	"S12000021"	"Plug-in Hybrids"	16
2015 Q4	"North Lanarkshire"	"S12000050"	"Plug-in Hybrids"	37
2015 Q4	"Orkney Islands"	"S12000023"	"Plug-in Hybrids"	6
2015 Q4	"Perth and Kinross"	"S12000048"	"Plug-in Hybrids"	34
2015 Q4	"Renfrewshire"	"S12000038"	"Plug-in Hybrids"	22
2015 Q4	"Scottish Borders"	"S12000026"	"Plug-in Hybrids"	30
2015 Q4	"Shetland Islands"	"S12000027"	"Plug-in Hybrids"	12
2015 Q4	"South Ayrshire"	"S12000028"	"Plug-in Hybrids"	18
2015 Q4	"South Lanarkshire"	"S12000029"	"Plug-in Hybrids"	48
2015 Q4	"Stirling"	"S12000030"	"Plug-in Hybrids"	92
2015 Q4	"West Dunbartonshire"	"S12000039"	"Plug-in Hybrids"	11
2015 Q4	"West Lothian"	"S12000040"	"Plug-in Hybrids"	21
2015 Q3	"Aberdeen City"	"S12000033"	"Plug-in Hybrids"	55
2015 Q3	"Aberdeenshire"	"S12000034"	"Plug-in Hybrids"	59
2015 Q3	"Angus"	"S12000041"	"Plug-in Hybrids"	17
2015 Q3	"Argyll and Bute"	"S12000035"	"Plug-in Hybrids"	14
2015 Q3	"City of Edinburgh"	"S12000036"	"Plug-in Hybrids"	70
2015 Q3	"Clackmannanshire"	"S12000005"	"Plug-in Hybrids"	0
2015 Q3	"Dumfries and Galloway"	"S12000006"	"Plug-in Hybrids"	34
2015 Q3	"Dundee City"	"S12000042"	"Plug-in Hybrids"	16
2015 Q3	"East Ayrshire"	"S12000008"	"Plug-in Hybrids"	10
2015 Q3	"East Dunbartonshire"	"S12000045"	"Plug-in Hybrids"	10
2015 Q3	"East Lothian"	"S12000010"	"Plug-in Hybrids"	19
2015 Q3	"East Renfrewshire"	"S12000011"	"Plug-in Hybrids"	12
2015 Q3	"Falkirk"	"S12000014"	"Plug-in Hybrids"	10
2015 Q3	"Fife"	"S12000047"	"Plug-in Hybrids"	55
2015 Q3	"Glasgow City"	"S12000049"	"Plug-in Hybrids"	147
2015 Q3	"Highland"	"S12000017"	"Plug-in Hybrids"	27
2015 Q3	"Inverclyde"	"S12000018"	"Plug-in Hybrids"	0
2015 Q3	"Midlothian"	"S12000019"	"Plug-in Hybrids"	12
2015 Q3	"Moray"	"S12000020"	"Plug-in Hybrids"	6
2015 Q3	"Na h-Eileanan Siar"	"S12000013"	"Plug-in Hybrids"	0
2015 Q3	"North Ayrshire"	"S12000021"	"Plug-in Hybrids"	15
2015 Q3	"North Lanarkshire"	"S12000050"	"Plug-in Hybrids"	35
2015 Q3	"Orkney Islands"	"S12000023"	"Plug-in Hybrids"	6
2015 Q3	"Perth and Kinross"	"S12000048"	"Plug-in Hybrids"	28
2015 Q3	"Renfrewshire"	"S12000038"	"Plug-in Hybrids"	19
2015 Q3	"Scottish Borders"	"S12000026"	"Plug-in Hybrids"	23
2015 Q3	"Shetland Islands"	"S12000027"	"Plug-in Hybrids"	11
2015 Q3	"South Ayrshire"	"S12000028"	"Plug-in Hybrids"	17
2015 Q3	"South Lanarkshire"	"S12000029"	"Plug-in Hybrids"	42
2015 Q3	"Stirling"	"S12000030"	"Plug-in Hybrids"	70
2015 Q3	"West Dunbartonshire"	"S12000039"	"Plug-in Hybrids"	8
2015 Q3	"West Lothian"	"S12000040"	"Plug-in Hybrids"	17
2015 Q2	"Aberdeen City"	"S12000033"	"Plug-in Hybrids"	42
2015 Q2	"Aberdeenshire"	"S12000034"	"Plug-in Hybrids"	47
2015 Q2	"Angus"	"S12000041"	"Plug-in Hybrids"	14
2015 Q2	"Argyll and Bute"	"S12000035"	"Plug-in Hybrids"	10
2015 Q2	"City of Edinburgh"	"S12000036"	"Plug-in Hybrids"	53
2015 Q2	"Clackmannanshire"	"S12000005"	"Plug-in Hybrids"	0
2015 Q2	"Dumfries and Galloway"	"S12000006"	"Plug-in Hybrids"	28
2015 Q2	"Dundee City"	"S12000042"	"Plug-in Hybrids"	11
2015 Q2	"East Ayrshire"	"S12000008"	"Plug-in Hybrids"	7
2015 Q2	"East Dunbartonshire"	"S12000045"	"Plug-in Hybrids"	9
2015 Q2	"East Lothian"	"S12000010"	"Plug-in Hybrids"	15
2015 Q2	"East Renfrewshire"	"S12000011"	"Plug-in Hybrids"	9
2015 Q2	"Falkirk"	"S12000014"	"Plug-in Hybrids"	8
2015 Q2	"Fife"	"S12000047"	"Plug-in Hybrids"	41
2015 Q2	"Glasgow City"	"S12000049"	"Plug-in Hybrids"	124
2015 Q2	"Highland"	"S12000017"	"Plug-in Hybrids"	23
2015 Q2	"Inverclyde"	"S12000018"	"Plug-in Hybrids"	0
2015 Q2	"Midlothian"	"S12000019"	"Plug-in Hybrids"	11
2015 Q2	"Moray"	"S12000020"	"Plug-in Hybrids"	6
2015 Q2	"Na h-Eileanan Siar"	"S12000013"	"Plug-in Hybrids"	0
2015 Q2	"North Ayrshire"	"S12000021"	"Plug-in Hybrids"	12
2015 Q2	"North Lanarkshire"	"S12000050"	"Plug-in Hybrids"	34
2015 Q2	"Orkney Islands"	"S12000023"	"Plug-in Hybrids"	0
2015 Q2	"Perth and Kinross"	"S12000048"	"Plug-in Hybrids"	24
2015 Q2	"Renfrewshire"	"S12000038"	"Plug-in Hybrids"	17
2015 Q2	"Scottish Borders"	"S12000026"	"Plug-in Hybrids"	20
2015 Q2	"Shetland Islands"	"S12000027"	"Plug-in Hybrids"	7
2015 Q2	"South Ayrshire"	"S12000028"	"Plug-in Hybrids"	11
2015 Q2	"South Lanarkshire"	"S12000029"	"Plug-in Hybrids"	29
2015 Q2	"Stirling"	"S12000030"	"Plug-in Hybrids"	60
2015 Q2	"West Dunbartonshire"	"S12000039"	"Plug-in Hybrids"	5
2015 Q2	"West Lothian"	"S12000040"	"Plug-in Hybrids"	13
2015 Q1	"Aberdeen City"	"S12000033"	"Plug-in Hybrids"	32
2015 Q1	"Aberdeenshire"	"S12000034"	"Plug-in Hybrids"	33
2015 Q1	"Angus"	"S12000041"	"Plug-in Hybrids"	10
2015 Q1	"Argyll and Bute"	"S12000035"	"Plug-in Hybrids"	7
2015 Q1	"City of Edinburgh"	"S12000036"	"Plug-in Hybrids"	42
2015 Q1	"Clackmannanshire"	"S12000005"	"Plug-in Hybrids"	0
2015 Q1	"Dumfries and Galloway"	"S12000006"	"Plug-in Hybrids"	21
2015 Q1	"Dundee City"	"S12000042"	"Plug-in Hybrids"	9
2015 Q1	"East Ayrshire"	"S12000008"	"Plug-in Hybrids"	7
2015 Q1	"East Dunbartonshire"	"S12000045"	"Plug-in Hybrids"	9
2015 Q1	"East Lothian"	"S12000010"	"Plug-in Hybrids"	11
2015 Q1	"East Renfrewshire"	"S12000011"	"Plug-in Hybrids"	7
2015 Q1	"Falkirk"	"S12000014"	"Plug-in Hybrids"	0
2015 Q1	"Fife"	"S12000047"	"Plug-in Hybrids"	27
2015 Q1	"Glasgow City"	"S12000049"	"Plug-in Hybrids"	91
2015 Q1	"Highland"	"S12000017"	"Plug-in Hybrids"	16
2015 Q1	"Inverclyde"	"S12000018"	"Plug-in Hybrids"	0
2015 Q1	"Midlothian"	"S12000019"	"Plug-in Hybrids"	6
2015 Q1	"Moray"	"S12000020"	"Plug-in Hybrids"	0
2015 Q1	"Na h-Eileanan Siar"	"S12000013"	"Plug-in Hybrids"	0
2015 Q1	"North Ayrshire"	"S12000021"	"Plug-in Hybrids"	10
2015 Q1	"North Lanarkshire"	"S12000050"	"Plug-in Hybrids"	22
2015 Q1	"Orkney Islands"	"S12000023"	"Plug-in Hybrids"	0
2015 Q1	"Perth and Kinross"	"S12000048"	"Plug-in Hybrids"	21
2015 Q1	"Renfrewshire"	"S12000038"	"Plug-in Hybrids"	9
2015 Q1	"Scottish Borders"	"S12000026"	"Plug-in Hybrids"	17
2015 Q1	"Shetland Islands"	"S12000027"	"Plug-in Hybrids"	5
2015 Q1	"South Ayrshire"	"S12000028"	"Plug-in Hybrids"	12
2015 Q1	"South Lanarkshire"	"S12000029"	"Plug-in Hybrids"	23
2015 Q1	"Stirling"	"S12000030"	"Plug-in Hybrids"	38
2015 Q1	"West Dunbartonshire"	"S12000039"	"Plug-in Hybrids"	0
2015 Q1	"West Lothian"	"S12000040"	"Plug-in Hybrids"	6
2021 Q2	"Aberdeen City"	"S12000033"	"Other ULEVs"	36
2021 Q2	"Aberdeenshire"	"S12000034"	"Other ULEVs"	42
2021 Q2	"Angus"	"S12000041"	"Other ULEVs"	14
2021 Q2	"Argyll and Bute"	"S12000035"	"Other ULEVs"	18
2021 Q2	"City of Edinburgh"	"S12000036"	"Other ULEVs"	154
2021 Q2	"Clackmannanshire"	"S12000005"	"Other ULEVs"	6
2021 Q2	"Dumfries and Galloway"	"S12000006"	"Other ULEVs"	10
2021 Q2	"Dundee City"	"S12000042"	"Other ULEVs"	11
2021 Q2	"East Ayrshire"	"S12000008"	"Other ULEVs"	11
2021 Q2	"East Dunbartonshire"	"S12000045"	"Other ULEVs"	19
2021 Q2	"East Lothian"	"S12000010"	"Other ULEVs"	23
2021 Q2	"East Renfrewshire"	"S12000011"	"Other ULEVs"	22
2021 Q2	"Falkirk"	"S12000014"	"Other ULEVs"	12
2021 Q2	"Fife"	"S12000047"	"Other ULEVs"	41
2021 Q2	"Glasgow City"	"S12000049"	"Other ULEVs"	57
2021 Q2	"Highland"	"S12000017"	"Other ULEVs"	19
2021 Q2	"Inverclyde"	"S12000018"	"Other ULEVs"	8
2021 Q2	"Midlothian"	"S12000019"	"Other ULEVs"	26
2021 Q2	"Moray"	"S12000020"	"Other ULEVs"	9
2021 Q2	"Na h-Eileanan Siar"	"S12000013"	"Other ULEVs"	2
2021 Q2	"North Ayrshire"	"S12000021"	"Other ULEVs"	11
2021 Q2	"North Lanarkshire"	"S12000050"	"Other ULEVs"	25
2021 Q2	"Orkney Islands"	"S12000023"	"Other ULEVs"	4
2021 Q2	"Perth and Kinross"	"S12000048"	"Other ULEVs"	27
2021 Q2	"Renfrewshire"	"S12000038"	"Other ULEVs"	43
2021 Q2	"Scottish Borders"	"S12000026"	"Other ULEVs"	19
2021 Q2	"Shetland Islands"	"S12000027"	"Other ULEVs"	2
2021 Q2	"South Ayrshire"	"S12000028"	"Other ULEVs"	17
2021 Q2	"South Lanarkshire"	"S12000029"	"Other ULEVs"	31
2021 Q2	"Stirling"	"S12000030"	"Other ULEVs"	22
2021 Q2	"West Dunbartonshire"	"S12000039"	"Other ULEVs"	9
2021 Q2	"West Lothian"	"S12000040"	"Other ULEVs"	16
2021 Q1	"Aberdeen City"	"S12000033"	"Other ULEVs"	36
2021 Q1	"Aberdeenshire"	"S12000034"	"Other ULEVs"	41
2021 Q1	"Angus"	"S12000041"	"Other ULEVs"	14
2021 Q1	"Argyll and Bute"	"S12000035"	"Other ULEVs"	18
2021 Q1	"City of Edinburgh"	"S12000036"	"Other ULEVs"	156
2021 Q1	"Clackmannanshire"	"S12000005"	"Other ULEVs"	6
2021 Q1	"Dumfries and Galloway"	"S12000006"	"Other ULEVs"	10
2021 Q1	"Dundee City"	"S12000042"	"Other ULEVs"	11
2021 Q1	"East Ayrshire"	"S12000008"	"Other ULEVs"	8
2021 Q1	"East Dunbartonshire"	"S12000045"	"Other ULEVs"	20
2021 Q1	"East Lothian"	"S12000010"	"Other ULEVs"	23
2021 Q1	"East Renfrewshire"	"S12000011"	"Other ULEVs"	21
2021 Q1	"Falkirk"	"S12000014"	"Other ULEVs"	13
2021 Q1	"Fife"	"S12000047"	"Other ULEVs"	39
2021 Q1	"Glasgow City"	"S12000049"	"Other ULEVs"	53
2021 Q1	"Highland"	"S12000017"	"Other ULEVs"	17
2021 Q1	"Inverclyde"	"S12000018"	"Other ULEVs"	8
2021 Q1	"Midlothian"	"S12000019"	"Other ULEVs"	25
2021 Q1	"Moray"	"S12000020"	"Other ULEVs"	9
2021 Q1	"Na h-Eileanan Siar"	"S12000013"	"Other ULEVs"	2
2021 Q1	"North Ayrshire"	"S12000021"	"Other ULEVs"	13
2021 Q1	"North Lanarkshire"	"S12000050"	"Other ULEVs"	23
2021 Q1	"Orkney Islands"	"S12000023"	"Other ULEVs"	4
2021 Q1	"Perth and Kinross"	"S12000048"	"Other ULEVs"	25
2021 Q1	"Renfrewshire"	"S12000038"	"Other ULEVs"	52
2021 Q1	"Scottish Borders"	"S12000026"	"Other ULEVs"	20
2021 Q1	"Shetland Islands"	"S12000027"	"Other ULEVs"	2
2021 Q1	"South Ayrshire"	"S12000028"	"Other ULEVs"	17
2021 Q1	"South Lanarkshire"	"S12000029"	"Other ULEVs"	27
2021 Q1	"Stirling"	"S12000030"	"Other ULEVs"	25
2021 Q1	"West Dunbartonshire"	"S12000039"	"Other ULEVs"	7
2021 Q1	"West Lothian"	"S12000040"	"Other ULEVs"	15
2020 Q4	"Aberdeen City"	"S12000033"	"Other ULEVs"	32
2020 Q4	"Aberdeenshire"	"S12000034"	"Other ULEVs"	40
2020 Q4	"Angus"	"S12000041"	"Other ULEVs"	13
2020 Q4	"Argyll and Bute"	"S12000035"	"Other ULEVs"	16
2020 Q4	"City of Edinburgh"	"S12000036"	"Other ULEVs"	152
2020 Q4	"Clackmannanshire"	"S12000005"	"Other ULEVs"	5
2020 Q4	"Dumfries and Galloway"	"S12000006"	"Other ULEVs"	9
2020 Q4	"Dundee City"	"S12000042"	"Other ULEVs"	11
2020 Q4	"East Ayrshire"	"S12000008"	"Other ULEVs"	7
2020 Q4	"East Dunbartonshire"	"S12000045"	"Other ULEVs"	18
2020 Q4	"East Lothian"	"S12000010"	"Other ULEVs"	23
2020 Q4	"East Renfrewshire"	"S12000011"	"Other ULEVs"	20
2020 Q4	"Falkirk"	"S12000014"	"Other ULEVs"	13
2020 Q4	"Fife"	"S12000047"	"Other ULEVs"	35
2020 Q4	"Glasgow City"	"S12000049"	"Other ULEVs"	52
2020 Q4	"Highland"	"S12000017"	"Other ULEVs"	17
2020 Q4	"Inverclyde"	"S12000018"	"Other ULEVs"	7
2020 Q4	"Midlothian"	"S12000019"	"Other ULEVs"	24
2020 Q4	"Moray"	"S12000020"	"Other ULEVs"	8
2020 Q4	"Na h-Eileanan Siar"	"S12000013"	"Other ULEVs"	2
2020 Q4	"North Ayrshire"	"S12000021"	"Other ULEVs"	11
2020 Q4	"North Lanarkshire"	"S12000050"	"Other ULEVs"	21
2020 Q4	"Orkney Islands"	"S12000023"	"Other ULEVs"	3
2020 Q4	"Perth and Kinross"	"S12000048"	"Other ULEVs"	28
2020 Q4	"Renfrewshire"	"S12000038"	"Other ULEVs"	58
2020 Q4	"Scottish Borders"	"S12000026"	"Other ULEVs"	19
2020 Q4	"Shetland Islands"	"S12000027"	"Other ULEVs"	2
2020 Q4	"South Ayrshire"	"S12000028"	"Other ULEVs"	19
2020 Q4	"South Lanarkshire"	"S12000029"	"Other ULEVs"	29
2020 Q4	"Stirling"	"S12000030"	"Other ULEVs"	25
2020 Q4	"West Dunbartonshire"	"S12000039"	"Other ULEVs"	7
2020 Q4	"West Lothian"	"S12000040"	"Other ULEVs"	15
2020 Q3	"Aberdeen City"	"S12000033"	"Other ULEVs"	26
2020 Q3	"Aberdeenshire"	"S12000034"	"Other ULEVs"	40
2020 Q3	"Angus"	"S12000041"	"Other ULEVs"	13
2020 Q3	"Argyll and Bute"	"S12000035"	"Other ULEVs"	16
2020 Q3	"City of Edinburgh"	"S12000036"	"Other ULEVs"	147
2020 Q3	"Clackmannanshire"	"S12000005"	"Other ULEVs"	5
2020 Q3	"Dumfries and Galloway"	"S12000006"	"Other ULEVs"	9
2020 Q3	"Dundee City"	"S12000042"	"Other ULEVs"	13
2020 Q3	"East Ayrshire"	"S12000008"	"Other ULEVs"	7
2020 Q3	"East Dunbartonshire"	"S12000045"	"Other ULEVs"	18
2020 Q3	"East Lothian"	"S12000010"	"Other ULEVs"	27
2020 Q3	"East Renfrewshire"	"S12000011"	"Other ULEVs"	18
2020 Q3	"Falkirk"	"S12000014"	"Other ULEVs"	12
2020 Q3	"Fife"	"S12000047"	"Other ULEVs"	35
2020 Q3	"Glasgow City"	"S12000049"	"Other ULEVs"	54
2020 Q3	"Highland"	"S12000017"	"Other ULEVs"	17
2020 Q3	"Inverclyde"	"S12000018"	"Other ULEVs"	7
2020 Q3	"Midlothian"	"S12000019"	"Other ULEVs"	22
2020 Q3	"Moray"	"S12000020"	"Other ULEVs"	6
2020 Q3	"Na h-Eileanan Siar"	"S12000013"	"Other ULEVs"	2
2020 Q3	"North Ayrshire"	"S12000021"	"Other ULEVs"	11
2020 Q3	"North Lanarkshire"	"S12000050"	"Other ULEVs"	18
2020 Q3	"Orkney Islands"	"S12000023"	"Other ULEVs"	3
2020 Q3	"Perth and Kinross"	"S12000048"	"Other ULEVs"	24
2020 Q3	"Renfrewshire"	"S12000038"	"Other ULEVs"	72
2020 Q3	"Scottish Borders"	"S12000026"	"Other ULEVs"	18
2020 Q3	"Shetland Islands"	"S12000027"	"Other ULEVs"	2
2020 Q3	"South Ayrshire"	"S12000028"	"Other ULEVs"	18
2020 Q3	"South Lanarkshire"	"S12000029"	"Other ULEVs"	25
2020 Q3	"Stirling"	"S12000030"	"Other ULEVs"	30
2020 Q3	"West Dunbartonshire"	"S12000039"	"Other ULEVs"	7
2020 Q3	"West Lothian"	"S12000040"	"Other ULEVs"	14
2020 Q2	"Aberdeen City"	"S12000033"	"Other ULEVs"	26
2020 Q2	"Aberdeenshire"	"S12000034"	"Other ULEVs"	37
2020 Q2	"Angus"	"S12000041"	"Other ULEVs"	11
2020 Q2	"Argyll and Bute"	"S12000035"	"Other ULEVs"	13
2020 Q2	"City of Edinburgh"	"S12000036"	"Other ULEVs"	144
2020 Q2	"Clackmannanshire"	"S12000005"	"Other ULEVs"	7
2020 Q2	"Dumfries and Galloway"	"S12000006"	"Other ULEVs"	9
2020 Q2	"Dundee City"	"S12000042"	"Other ULEVs"	13
2020 Q2	"East Ayrshire"	"S12000008"	"Other ULEVs"	6
2020 Q2	"East Dunbartonshire"	"S12000045"	"Other ULEVs"	18
2020 Q2	"East Lothian"	"S12000010"	"Other ULEVs"	25
2020 Q2	"East Renfrewshire"	"S12000011"	"Other ULEVs"	18
2020 Q2	"Falkirk"	"S12000014"	"Other ULEVs"	11
2020 Q2	"Fife"	"S12000047"	"Other ULEVs"	33
2020 Q2	"Glasgow City"	"S12000049"	"Other ULEVs"	55
2020 Q2	"Highland"	"S12000017"	"Other ULEVs"	16
2020 Q2	"Inverclyde"	"S12000018"	"Other ULEVs"	7
2020 Q2	"Midlothian"	"S12000019"	"Other ULEVs"	19
2020 Q2	"Moray"	"S12000020"	"Other ULEVs"	7
2020 Q2	"Na h-Eileanan Siar"	"S12000013"	"Other ULEVs"	2
2020 Q2	"North Ayrshire"	"S12000021"	"Other ULEVs"	12
2020 Q2	"North Lanarkshire"	"S12000050"	"Other ULEVs"	18
2020 Q2	"Orkney Islands"	"S12000023"	"Other ULEVs"	3
2020 Q2	"Perth and Kinross"	"S12000048"	"Other ULEVs"	24
2020 Q2	"Renfrewshire"	"S12000038"	"Other ULEVs"	88
2020 Q2	"Scottish Borders"	"S12000026"	"Other ULEVs"	18
2020 Q2	"Shetland Islands"	"S12000027"	"Other ULEVs"	1
2020 Q2	"South Ayrshire"	"S12000028"	"Other ULEVs"	17
2020 Q2	"South Lanarkshire"	"S12000029"	"Other ULEVs"	25
2020 Q2	"Stirling"	"S12000030"	"Other ULEVs"	33
2020 Q2	"West Dunbartonshire"	"S12000039"	"Other ULEVs"	7
2020 Q2	"West Lothian"	"S12000040"	"Other ULEVs"	15
2020 Q1	"Aberdeen City"	"S12000033"	"Other ULEVs"	27
2020 Q1	"Aberdeenshire"	"S12000034"	"Other ULEVs"	40
2020 Q1	"Angus"	"S12000041"	"Other ULEVs"	13
2020 Q1	"Argyll and Bute"	"S12000035"	"Other ULEVs"	14
2020 Q1	"City of Edinburgh"	"S12000036"	"Other ULEVs"	145
2020 Q1	"Clackmannanshire"	"S12000005"	"Other ULEVs"	8
2020 Q1	"Dumfries and Galloway"	"S12000006"	"Other ULEVs"	8
2020 Q1	"Dundee City"	"S12000042"	"Other ULEVs"	12
2020 Q1	"East Ayrshire"	"S12000008"	"Other ULEVs"	5
2020 Q1	"East Dunbartonshire"	"S12000045"	"Other ULEVs"	18
2020 Q1	"East Lothian"	"S12000010"	"Other ULEVs"	26
2020 Q1	"East Renfrewshire"	"S12000011"	"Other ULEVs"	20
2020 Q1	"Falkirk"	"S12000014"	"Other ULEVs"	12
2020 Q1	"Fife"	"S12000047"	"Other ULEVs"	33
2020 Q1	"Glasgow City"	"S12000049"	"Other ULEVs"	54
2020 Q1	"Highland"	"S12000017"	"Other ULEVs"	16
2020 Q1	"Inverclyde"	"S12000018"	"Other ULEVs"	7
2020 Q1	"Midlothian"	"S12000019"	"Other ULEVs"	20
2020 Q1	"Moray"	"S12000020"	"Other ULEVs"	7
2020 Q1	"Na h-Eileanan Siar"	"S12000013"	"Other ULEVs"	2
2020 Q1	"North Ayrshire"	"S12000021"	"Other ULEVs"	12
2020 Q1	"North Lanarkshire"	"S12000050"	"Other ULEVs"	16
2020 Q1	"Orkney Islands"	"S12000023"	"Other ULEVs"	3
2020 Q1	"Perth and Kinross"	"S12000048"	"Other ULEVs"	23
2020 Q1	"Renfrewshire"	"S12000038"	"Other ULEVs"	103
2020 Q1	"Scottish Borders"	"S12000026"	"Other ULEVs"	18
2020 Q1	"Shetland Islands"	"S12000027"	"Other ULEVs"	1
2020 Q1	"South Ayrshire"	"S12000028"	"Other ULEVs"	17
2020 Q1	"South Lanarkshire"	"S12000029"	"Other ULEVs"	25
2020 Q1	"Stirling"	"S12000030"	"Other ULEVs"	33
2020 Q1	"West Dunbartonshire"	"S12000039"	"Other ULEVs"	7
2020 Q1	"West Lothian"	"S12000040"	"Other ULEVs"	15
2019 Q4	"Aberdeen City"	"S12000033"	"Other ULEVs"	26
2019 Q4	"Aberdeenshire"	"S12000034"	"Other ULEVs"	38
2019 Q4	"Angus"	"S12000041"	"Other ULEVs"	13
2019 Q4	"Argyll and Bute"	"S12000035"	"Other ULEVs"	13
2019 Q4	"City of Edinburgh"	"S12000036"	"Other ULEVs"	134
2019 Q4	"Clackmannanshire"	"S12000005"	"Other ULEVs"	8
2019 Q4	"Dumfries and Galloway"	"S12000006"	"Other ULEVs"	6
2019 Q4	"Dundee City"	"S12000042"	"Other ULEVs"	12
2019 Q4	"East Ayrshire"	"S12000008"	"Other ULEVs"	6
2019 Q4	"East Dunbartonshire"	"S12000045"	"Other ULEVs"	17
2019 Q4	"East Lothian"	"S12000010"	"Other ULEVs"	27
2019 Q4	"East Renfrewshire"	"S12000011"	"Other ULEVs"	18
2019 Q4	"Falkirk"	"S12000014"	"Other ULEVs"	12
2019 Q4	"Fife"	"S12000047"	"Other ULEVs"	31
2019 Q4	"Glasgow City"	"S12000049"	"Other ULEVs"	53
2019 Q4	"Highland"	"S12000017"	"Other ULEVs"	15
2019 Q4	"Inverclyde"	"S12000018"	"Other ULEVs"	7
2019 Q4	"Midlothian"	"S12000019"	"Other ULEVs"	19
2019 Q4	"Moray"	"S12000020"	"Other ULEVs"	7
2019 Q4	"Na h-Eileanan Siar"	"S12000013"	"Other ULEVs"	3
2019 Q4	"North Ayrshire"	"S12000021"	"Other ULEVs"	12
2019 Q4	"North Lanarkshire"	"S12000050"	"Other ULEVs"	15
2019 Q4	"Orkney Islands"	"S12000023"	"Other ULEVs"	3
2019 Q4	"Perth and Kinross"	"S12000048"	"Other ULEVs"	23
2019 Q4	"Renfrewshire"	"S12000038"	"Other ULEVs"	102
2019 Q4	"Scottish Borders"	"S12000026"	"Other ULEVs"	17
2019 Q4	"Shetland Islands"	"S12000027"	"Other ULEVs"	1
2019 Q4	"South Ayrshire"	"S12000028"	"Other ULEVs"	18
2019 Q4	"South Lanarkshire"	"S12000029"	"Other ULEVs"	24
2019 Q4	"Stirling"	"S12000030"	"Other ULEVs"	33
2019 Q4	"West Dunbartonshire"	"S12000039"	"Other ULEVs"	6
2019 Q4	"West Lothian"	"S12000040"	"Other ULEVs"	11
2019 Q3	"Aberdeen City"	"S12000033"	"Other ULEVs"	27
2019 Q3	"Aberdeenshire"	"S12000034"	"Other ULEVs"	36
2019 Q3	"Angus"	"S12000041"	"Other ULEVs"	13
2019 Q3	"Argyll and Bute"	"S12000035"	"Other ULEVs"	13
2019 Q3	"City of Edinburgh"	"S12000036"	"Other ULEVs"	117
2019 Q3	"Clackmannanshire"	"S12000005"	"Other ULEVs"	8
2019 Q3	"Dumfries and Galloway"	"S12000006"	"Other ULEVs"	6
2019 Q3	"Dundee City"	"S12000042"	"Other ULEVs"	11
2019 Q3	"East Ayrshire"	"S12000008"	"Other ULEVs"	7
2019 Q3	"East Dunbartonshire"	"S12000045"	"Other ULEVs"	14
2019 Q3	"East Lothian"	"S12000010"	"Other ULEVs"	24
2019 Q3	"East Renfrewshire"	"S12000011"	"Other ULEVs"	18
2019 Q3	"Falkirk"	"S12000014"	"Other ULEVs"	11
2019 Q3	"Fife"	"S12000047"	"Other ULEVs"	29
2019 Q3	"Glasgow City"	"S12000049"	"Other ULEVs"	53
2019 Q3	"Highland"	"S12000017"	"Other ULEVs"	16
2019 Q3	"Inverclyde"	"S12000018"	"Other ULEVs"	7
2019 Q3	"Midlothian"	"S12000019"	"Other ULEVs"	16
2019 Q3	"Moray"	"S12000020"	"Other ULEVs"	8
2019 Q3	"Na h-Eileanan Siar"	"S12000013"	"Other ULEVs"	3
2019 Q3	"North Ayrshire"	"S12000021"	"Other ULEVs"	14
2019 Q3	"North Lanarkshire"	"S12000050"	"Other ULEVs"	14
2019 Q3	"Orkney Islands"	"S12000023"	"Other ULEVs"	2
2019 Q3	"Perth and Kinross"	"S12000048"	"Other ULEVs"	24
2019 Q3	"Renfrewshire"	"S12000038"	"Other ULEVs"	106
2019 Q3	"Scottish Borders"	"S12000026"	"Other ULEVs"	18
2019 Q3	"Shetland Islands"	"S12000027"	"Other ULEVs"	1
2019 Q3	"South Ayrshire"	"S12000028"	"Other ULEVs"	16
2019 Q3	"South Lanarkshire"	"S12000029"	"Other ULEVs"	21
2019 Q3	"Stirling"	"S12000030"	"Other ULEVs"	35
2019 Q3	"West Dunbartonshire"	"S12000039"	"Other ULEVs"	6
2019 Q3	"West Lothian"	"S12000040"	"Other ULEVs"	10
2019 Q2	"Aberdeen City"	"S12000033"	"Other ULEVs"	25
2019 Q2	"Aberdeenshire"	"S12000034"	"Other ULEVs"	33
2019 Q2	"Angus"	"S12000041"	"Other ULEVs"	12
2019 Q2	"Argyll and Bute"	"S12000035"	"Other ULEVs"	13
