"LACode"	"Local Authority Name"	"Photovoltaics"	"Onshore Wind"	"Hydro"	"Anaerobic Digestion"	"Offshore Wind"	"Wave/Tidal"	"Sewage Gas"	"Landfill Gas"	"Municipal Solid Waste"	"Animal Biomass"	"Plant Biomass"	"Cofiring"	"Total"	"Year"
"S12000044"	"North Lanarkshire"	2341	30	1	2	0	0	0	8	0	0	1	0	2383	2018
"S12000023"	"Orkney Islands"	373	774	1	0	0	14	0	0	0	0	0	0	1162	2018
"S12000024"	"Perth & Kinross"	2828	85	87	2	0	0	0	1	0	0	2	0	3005	2018
"S12000038"	"Renfrewshire"	1231	3	0	0	0	0	0	0	0	0	2	0	1236	2018
"S12000026"	"Scottish Borders"	3403	124	11	4	0	0	1	1	0	0	4	0	3548	2018
"S12000027"	"Shetland Islands"	60	217	2	0	0	1	0	0	0	0	0	0	280	2018
"S12000028"	"South Ayrshire"	1171	50	6	3	0	0	0	1	0	0	5	0	1236	2018
"S12000029"	"South Lanarkshire"	3148	185	12	0	0	0	0	2	0	0	4	0	3351	2018
"S12000030"	"Stirling"	3908	28	48	2	0	0	0	1	0	0	4	0	3991	2018
"S12000039"	"West Dunbartonshire"	849	0	2	0	0	0	0	2	0	0	0	0	853	2018
"S12000040"	"West Lothian"	1818	33	0	0	0	0	0	1	0	0	0	0	1852	2018
"S12000033"	"Aberdeen City"	1525	8	2	0	1	0	1	2	0	0	0	0	1539	2019
"S12000034"	"Aberdeenshire"	6470	572	15	5	2	0	0	3	0	0	8	0	7075	2019
"S12000041"	"Angus"	2342	89	17	4	0	0	1	3	0	0	7	0	2463	2019
"S12000035"	"Argyll & Bute"	1567	113	122	0	0	1	0	1	0	0	0	0	1804	2019
"S12000005"	"Clackmannanshire"	715	3	1	0	0	0	0	0	0	0	0	0	719	2019
"S12000006"	"Dumfries & Galloway"	3194	297	83	14	2	0	0	1	1	0	18	0	3610	2019
"S12000042"	"Dundee City"	803	3	1	0	0	0	0	0	1	0	1	0	809	2019
"S12000008"	"East Ayrshire"	1602	66	6	0	0	0	1	2	0	0	1	0	1678	2019
"S12000045"	"East Dunbartonshire"	794	1	0	1	0	0	0	0	0	0	0	0	796	2019
"S12000010"	"East Lothian"	1952	47	2	0	0	0	0	1	1	0	1	0	2004	2019
"S12000011"	"East Renfrewshire"	682	25	0	0	0	0	0	0	0	0	0	0	707	2019
"S12000036"	"Edinburgh City of"	2586	4	3	1	0	0	3	1	0	0	0	0	2598	2019
"S12000013"	"Eilean Siar"	296	183	7	1	0	0	0	0	0	0	0	0	487	2019
"S12000014"	"Falkirk"	1420	21	5	0	0	0	0	2	0	0	0	0	1448	2019
"S12000015"	"Fife"	5042	122	3	4	1	0	0	4	0	1	4	0	5181	2019
"S12000046"	"Glasgow City"	3519	4	0	1	0	0	0	4	1	0	0	0	3529	2019
"S12000017"	"Highland"	4962	255	299	3	0	1	1	2	0	0	9	0	5532	2019
"S12000018"	"Inverclyde"	453	17	2	0	0	0	0	0	0	0	0	0	472	2019
"S12000019"	"Midlothian"	1235	15	2	1	0	0	0	3	0	0	0	0	1256	2019
"S12000020"	"Moray"	1894	70	4	6	1	0	0	1	0	0	2	0	1978	2019
"S12000021"	"North Ayrshire"	1890	35	14	2	0	0	0	2	0	0	1	0	1944	2019
"S12000044"	"North Lanarkshire"	2987	30	2	2	0	0	0	8	0	0	1	0	3030	2019
"S12000023"	"Orkney Islands"	378	785	1	0	0	14	0	0	0	0	0	0	1178	2019
"S12000024"	"Perth & Kinross"	3202	86	87	2	0	0	0	1	0	0	2	0	3380	2019
"S12000038"	"Renfrewshire"	1531	3	0	0	0	0	0	0	0	0	2	0	1536	2019
"S12000026"	"Scottish Borders"	3609	126	11	4	0	0	1	1	0	0	4	0	3756	2019
"S12000027"	"Shetland Islands"	65	230	2	0	0	1	0	0	0	0	0	0	298	2019
"S12000028"	"South Ayrshire"	1284	50	6	3	0	0	0	1	0	0	5	0	1349	2019
"S12000029"	"South Lanarkshire"	3853	188	12	0	0	0	0	2	0	0	4	0	4059	2019
"S12000030"	"Stirling"	4712	28	49	2	0	0	0	1	0	0	4	0	4796	2019
"S12000039"	"West Dunbartonshire"	955	0	2	0	0	0	0	2	0	0	0	0	959	2019
"S12000040"	"West Lothian"	2263	33	0	0	0	0	0	1	0	0	0	0	2297	2019
"S12000033"	"Aberdeen City"	1533	8	2	0	1	0	1	2	0	0	0	0	1547	2020
"S12000034"	"Aberdeenshire"	6861	573	16	6	2	0	0	3	0	0	8	0	7469	2020
"S12000041"	"Angus"	2424	89	17	4	0	0	1	3	0	0	7	0	2545	2020
"S12000035"	"Argyll & Bute"	1566	113	122	0	0	1	0	1	0	0	0	0	1803	2020
"S12000005"	"Clackmannanshire"	734	3	1	0	0	0	0	0	0	0	0	0	738	2020
"S12000006"	"Dumfries & Galloway"	3116	297	83	14	2	0	0	1	1	0	18	0	3532	2020
"S12000042"	"Dundee City"	957	3	1	0	0	0	0	0	1	0	1	0	963	2020
"S12000008"	"East Ayrshire"	1527	66	6	0	0	0	1	2	0	0	1	0	1603	2020
"S12000045"	"East Dunbartonshire"	808	1	0	1	0	0	0	0	0	0	0	0	810	2020
"S12000010"	"East Lothian"	1953	47	2	0	0	0	0	1	1	0	1	0	2005	2020
"S12000011"	"East Renfrewshire"	672	25	0	0	0	0	0	0	0	0	0	0	697	2020
"S12000036"	"Edinburgh City of"	2634	4	3	1	0	0	3	1	0	0	0	0	2646	2020
"S12000013"	"Eilean Siar"	301	184	7	1	0	0	0	0	0	0	0	0	493	2020
"S12000014"	"Falkirk"	1462	21	5	0	0	0	0	2	0	0	0	0	1490	2020
"S12000015"	"Fife"	5236	122	3	4	1	0	0	4	0	1	4	0	5375	2020
"S12000046"	"Glasgow City"	3521	4	0	1	0	0	0	4	1	0	0	0	3531	2020
"S12000017"	"Highland"	4947	256	301	3	0	1	1	2	0	0	9	0	5520	2020
"S12000018"	"Inverclyde"	474	18	2	0	0	0	0	0	0	0	0	0	494	2020
"S12000019"	"Midlothian"	1452	15	2	1	0	0	0	3	0	0	0	0	1473	2020
"S12000020"	"Moray"	1900	70	4	6	1	0	0	1	0	0	2	0	1984	2020
"S12000021"	"North Ayrshire"	1693	35	14	2	0	0	0	2	0	0	1	0	1747	2020
"S12000044"	"North Lanarkshire"	2841	30	2	2	0	0	0	8	0	0	1	0	2884	2020
"S12000023"	"Orkney Islands"	377	785	1	0	0	14	0	0	0	0	0	0	1177	2020
"S12000024"	"Perth & Kinross"	3279	88	87	3	0	0	0	1	0	0	2	0	3460	2020
"S12000038"	"Renfrewshire"	1661	3	0	0	0	0	0	0	0	0	2	0	1666	2020
"S12000026"	"Scottish Borders"	3633	126	11	4	0	0	1	1	0	0	4	0	3780	2020
"S12000027"	"Shetland Islands"	69	230	2	0	0	1	0	0	0	0	0	0	302	2020
"S12000028"	"South Ayrshire"	1228	51	6	3	0	0	0	1	0	0	5	0	1294	2020
"S12000029"	"South Lanarkshire"	3818	191	12	0	0	0	0	2	0	0	4	0	4027	2020
"S12000030"	"Stirling"	4630	28	49	2	0	0	0	1	0	0	4	0	4714	2020
"S12000039"	"West Dunbartonshire"	959	0	2	0	0	0	0	2	0	0	0	0	963	2020
"S12000040"	"West Lothian"	2414	33	0	0	0	0	0	1	0	0	0	0	2448	2020
"S92000003"	"Scotland"	40978	2891	427	19	4	9	7	46	2	1	18	0	44402	2014
"S92000003"	"Scotland"	51367	3192	563	36	4	10	8	46	2	1	21	0	55250	2015
"S92000003"	"Scotland"	54218	3447	685	48	3	11	8	46	2	1	34	0	58503	2016
"S92000003"	"Scotland"	56130	3496	745	56	5	15	8	49	2	1	59	0	60566	2017
"S92000003"	"Scotland"	59518	3468	752	56	6	17	8	49	2	1	72	0	63949	2018
"S92000003"	"Scotland"	69782	3509	760	56	7	17	8	49	4	1	74	0	74267	2019
"S92000003"	"Scotland"	70680	3519	763	58	7	17	8	49	4	1	74	0	75180	2020
