LA Code,Year,Region,Coal - Industrial,Coal - Commercial,Coal - Domestic,Coal - Rail,Coal - Public Sector,Coal - Agriculture,Coal - Total,Manufactured fuels - Industrial,Manufactured fuels - Domestic,Manufactured fuels - Total,Petroleum products - Industrial,Petroleum products - Commercial,Petroleum products - Domestic,Petroleum products - Road transport,Petroleum products - Rail,Petroleum products - Public Sector,Petroleum products - Agriculture,Petroleum products - Total,Gas - Industrial,Gas - Commercial,Gas - Domestic,Gas - Total,Electricity - Industrial & Commercial,Electricity - Domestic,Electricity - Total,Bioenergy & Wastes - Industrial,Bioenergy & Wastes - Commercial,Bioenergy & wastes - Domestic,Bioenergy & wastes - Total,All fuels - Total,Consuming Sector - Industry & Commercial,Consuming Sector - Domestic,Consuming Sector - Transport
S12000048,2016,Perth and Kinross,36.978972075,0.7750772911,19.716153013,0,0.7766738226,0,58.246876202,0.0389232491,10.721492556,10.760415805,103.38700754,6.2047530732,201.09635676,2050.7102009,38.982997409,1.0260971177,170.47693544,2571.8843483,170.1120983445949,145.86184345540508,676.4786452,992.452587,374.9265534,348.9873255,723.9138789,2.4375709914417283,2.0797679948582726,60.429409999,64.946748985,4422.2048552,1015.0822738,1317.429383,2089.6931983
S12000047,2016,Fife,6.823199513,0.217775146,21.260701831,0,1.5744978354,0,29.876174325,10.597892452,12.859159093,23.457051544,4644.638067,5.9293810733,97.304028654,2086.9027028,39.730278349,1.2205740824,93.572479945,6969.2975118,602.1936926658077,516.3482373341924,2221.846173,3340.388103,887.770225,626.6777185,1514.447943,96.0217597470078,81.9270427129922,101.25078713,279.19958956,12156.666373,6948.8348245,3081.1985682,2126.6329811
S12000045,2016,East Dunbartonshire,2.4578466118,0.0117478119,2.4376442319,0,0.0087051248,0,4.9159437804,0.0383048936,1.9619581122,2.0002630058,34.04132287,0.506257389,8.8051561661,454.2594835,53.61112037,0.0929927357,9.4069596224,560.72329266,76.55274429032151,65.63980170967847,748.6771606,890.8697066,165.9697598,178.887802,344.8575618,0.0030355324956075976,0.002589956704392403,25.167666714,25.173292203,1828.54006,354.73206835,965.93738782,507.87060387
S12000042,2016,Dundee City,0.0077252275,3.29129e-4,3.0432527218,0,5.44284e-4,0,3.0518513623,0.1155330364,2.6203882362,2.7359212726,85.053345998,0.5395745711,5.6254647735,694.22975166,4.4779935101,0.4863369086,1.1477430333,791.56021045,359.4758336309951,308.2309152690048,735.2824062,1402.989155,380.6125606,291.3915618,672.0041224,7.125049763352879e-4,6.079187236647122e-4,36.175453305,36.176773717,2908.5180342,1135.6717621,1074.138527,698.70774517
S12000041,2016,Angus,36.410302687,0.2150579709,13.045857832,0.0203798072,0.2285354197,0,49.920133716,0,7.2095826309,7.2095826309,134.64004259,2.2146358534,122.34111023,878.51603012,12.622890037,0.2075494685,88.129067866,1238.6713262,172.08648268768582,147.5547703123142,558.6135828,878.2548357,263.1711085,247.6404398,510.8115483,2.985985346775371,2.5476824179246287,43.19263467,48.726302435,2733.5937289,850.39122112,992.04320796,891.15929997
S12000040,2016,West Lothian,4.4093211513,0.0879851833,10.172783946,0,0.0992097266,0,14.769300007,7.6609791583,6.0326984112,13.69367757,166.27355699,2.0260260028,27.925537355,1432.356758,23.965446853,0.3990909165,30.299331084,1683.2457473,365.1953812184454,313.13511528155453,1021.666218,1699.996715,524.6309712,285.6555397,810.2865109,0.24564414472382803,0.20958685187617196,45.105779893,45.56101089,4267.5529616,1414.6721989,1396.5585573,1456.3222049
S12000039,2016,West Dunbartonshire,0,0.0109590072,1.5884715711,0,0.0272035237,0,1.6266341019,0.0772281428,1.2144110081,1.2916391509,46.951757982,1.416234702,7.6958214288,528.10538337,0.4480895835,0.832080294,8.1393614377,593.5887288,123.15458896102625,105.59834103897373,480.6136194,709.3665494,189.2249156,145.857647,335.0825626,0,0,14.618303554,14.618303554,1655.5744176,475.43267069,651.58827396,528.55347296
S12000038,2016,Renfrewshire,0.0135191423,0.0656163786,3.3013361568,0,0,0,3.3804716777,0.0391824469,2.6516646323,2.6908470793,134.55795258,1.2163622314,11.733338877,1229.787694,26.137087538,0.2663326522,19.242448541,1422.9412165,285.3205613728991,244.6468150271009,1009.041856,1539.009233,436.8597788,289.2546454,726.1144242,0.001246877408718311,0.001063852391281689,33.933569199,33.93587994,3728.0720724,1122.2308799,1349.9164103,1255.9247816
S12000036,2016,City of Edinburgh,0.7752691978,0.4890171584,7.7546148469,0,0.1619701843,0,9.1808713874,0.1544562855,6.2401107271,6.3945670126,204.27733807,3.5515821349,19.865681598,2693.2815499,35.137717232,2.9795542232,10.921378052,2970.0148013,973.8496073808664,835.0229076191335,2697.271814,4506.144329,1373.354691,858.719331,2232.074021,0.06926702849065408,0.059099550109345936,80.028282266,80.156648856,9803.9652385,3405.6661379,3669.8798344,2728.4192672
S12000035,2016,Argyll and Bute,22.913684326,0.8335041084,32.768305129,0,0.9565597893,0,57.472053352,0.0778464982,16.058267049,16.136113547,199.58273645,6.4666716403,128.74154908,686.84071978,5.7566916576,46.801734912,122.99001119,1197.1801147,63.69546560402609,54.615386695973896,309.5797027,427.8905549,222.1914162,272.4957497,494.6871658,1.4465413295787195,1.2342083045212808,51.467868154,54.148617788,2247.5146201,743.80576705,811.11144181,692.59741144
S12000034,2016,Aberdeenshire,74.613214159,0.82819449,49.39331358,0,1.4577356824,0,126.29245791,10.03138722,25.714308336,35.745695556,386.82611024,8.3112588969,567.55080332,2156.005189,21.515694663,1.7610191008,373.65752776,3515.627603,184.6403115460211,158.31899365397888,1037.351455,1380.31076,647.5367413,575.0006534,1222.537395,6.206218292083487,5.295228002916513,119.53829314,131.03973942,6411.5536509,1859.4839403,2374.5488268,2177.5208837
S12000033,2016,Aberdeen City,3.4790898211,0.5462677058,4.5908295727,0,1.6292663082,0,10.245453408,11.070503681,3.5473874846,14.617891165,399.56044666,1.9200727718,21.241402881,1049.2548361,7.0163080221,17.597392937,12.053894345,1508.6443537,522.9138880894352,448.3701302105647,1337.032077,2308.316096,738.253767,404.9735304,1143.227297,2.966593747460761,2.53113724743924,43.294577796,48.792308791,5033.8434,2162.8924505,1814.6798051,1056.2711441
S12000030,2016,Stirling,3.9104786781,0.3447676982,8.0716848278,0,0.3025793615,0,12.629510566,0,4.3858634761,4.3858634761,62.649340875,4.0928734684,63.440117561,980.28855495,24.052870377,1.2080278012,66.916729227,1202.6485143,411.0363596114158,352.4412532885842,485.825667,1249.30328,280.2171179,182.0789113,462.2960292,324.1715205851784,276.5874535448216,24.643345481,625.4023196,3556.6655171,1783.878502,768.44558965,1004.3414253
