GeographyCode,DateCode,Measurement,Units,Energy Type,Energy Consuming Sector,Value
S12000005,2010,Count,GWh,Petroleum Products,Agriculture,9.046
S12000005,2010,Count,GWh,Petroleum Products,Commercial,0.289
S12000005,2010,Count,GWh,Petroleum Products,Domestic,12.816
S12000005,2010,Count,GWh,Petroleum Products,Industrial,36.791
S12000005,2010,Count,GWh,Petroleum Products,Public Sector,0.024
S12000005,2010,Count,GWh,Petroleum Products,Rail,49.628
S12000005,2010,Count,GWh,Petroleum Products,Road Transport,228.908
S12000005,2010,Count,GWh,Petroleum Products,All,337.501
S12000005,2011,Count,GWh,All,All,1836.698
S12000005,2011,Count,GWh,Bioenergy & Wastes,Domestic,7.824
S12000005,2011,Count,GWh,Bioenergy & Wastes,Road Transport,6.709
S12000005,2011,Count,GWh,Bioenergy & Wastes,All,14.535
S12000005,2011,Count,GWh,Bioenergy & Wastes,Commercial,0
S12000005,2011,Count,GWh,Bioenergy & Wastes,Industrial,0.001
S12000005,2011,Count,GWh,Coal,Agriculture,0.002
S12000005,2011,Count,GWh,Coal,Commercial,0.026
S12000005,2011,Count,GWh,Coal,Domestic,3.732
S12000005,2011,Count,GWh,Coal,Industrial,0.138
S12000005,2011,Count,GWh,Coal,Public Sector,0.275
S12000005,2011,Count,GWh,Coal,Rail,0
S12000005,2011,Count,GWh,Coal,All,4.173
S12000005,2011,Count,GWh,All,Domestic,439.809
S12000005,2011,Count,GWh,All,Industrial & Commercial,1115.766
S12000005,2011,Count,GWh,All,Transport,281.123
S12000005,2011,Count,GWh,Electricity,Domestic,95.378
S12000005,2011,Count,GWh,Electricity,Industrial & Commercial,236.424
S12000005,2011,Count,GWh,Electricity,All,331.802
S12000005,2011,Count,GWh,Gas,Commercial,383.48
S12000005,2011,Count,GWh,Gas,Domestic,320.689
S12000005,2011,Count,GWh,Gas,Industrial,463.989
S12000005,2011,Count,GWh,Gas,All,1168.158
S12000005,2011,Count,GWh,Manufactured Fuels,Domestic,2.081
S12000005,2011,Count,GWh,Manufactured Fuels,Industrial,3.19
S12000005,2011,Count,GWh,Manufactured Fuels,All,5.272
S12000005,2011,Count,GWh,Petroleum Products,Agriculture,9.181
S12000005,2011,Count,GWh,Petroleum Products,Commercial,0.286
S12000005,2011,Count,GWh,Petroleum Products,Domestic,10.103
S12000005,2011,Count,GWh,Petroleum Products,Industrial,18.711
S12000005,2011,Count,GWh,Petroleum Products,Public Sector,0.063
S12000005,2011,Count,GWh,Petroleum Products,Rail,48.513
S12000005,2011,Count,GWh,Petroleum Products,Road Transport,225.901
S12000005,2011,Count,GWh,Petroleum Products,All,312.758
S12000005,2012,Count,GWh,All,All,1695.087
S12000005,2012,Count,GWh,Bioenergy & Wastes,Domestic,9.951
S12000005,2012,Count,GWh,Bioenergy & Wastes,Road Transport,5.808
S12000005,2012,Count,GWh,Bioenergy & Wastes,All,15.759
S12000005,2012,Count,GWh,Bioenergy & Wastes,Commercial,0
S12000005,2012,Count,GWh,Bioenergy & Wastes,Industrial,0.001
S12000005,2012,Count,GWh,Coal,Agriculture,0.002
S12000005,2012,Count,GWh,Coal,Commercial,0.02
S12000005,2012,Count,GWh,Coal,Domestic,3.565
S12000005,2012,Count,GWh,Coal,Industrial,0.167
S12000005,2012,Count,GWh,Coal,Public Sector,0.24
S12000005,2012,Count,GWh,Coal,Rail,0
S12000005,2012,Count,GWh,Coal,All,3.994
S12000005,2012,Count,GWh,All,Domestic,438.542
S12000005,2012,Count,GWh,All,Industrial & Commercial,980.653
S12000005,2012,Count,GWh,All,Transport,275.892
S12000005,2012,Count,GWh,Electricity,Domestic,92.529
S12000005,2012,Count,GWh,Electricity,Industrial & Commercial,128.43
S12000005,2012,Count,GWh,Electricity,All,220.959
S12000005,2012,Count,GWh,Gas,Commercial,400.382
S12000005,2012,Count,GWh,Gas,Domestic,320.255
S12000005,2012,Count,GWh,Gas,Industrial,407.271
S12000005,2012,Count,GWh,Gas,All,1127.909
S12000005,2012,Count,GWh,Manufactured Fuels,Domestic,2.163
S12000005,2012,Count,GWh,Manufactured Fuels,Industrial,3.564
S12000005,2012,Count,GWh,Manufactured Fuels,All,5.727
S12000005,2012,Count,GWh,Petroleum Products,Agriculture,9.451
S12000005,2012,Count,GWh,Petroleum Products,Commercial,0.236
S12000005,2012,Count,GWh,Petroleum Products,Domestic,10.08
S12000005,2012,Count,GWh,Petroleum Products,Industrial,30.864
S12000005,2012,Count,GWh,Petroleum Products,Public Sector,0.024
S12000005,2012,Count,GWh,Petroleum Products,Rail,49.054
S12000005,2012,Count,GWh,Petroleum Products,Road Transport,221.03
S12000005,2012,Count,GWh,Petroleum Products,All,320.738
S12000005,2013,Count,GWh,All,All,1664.513
S12000005,2013,Count,GWh,Bioenergy & Wastes,Domestic,11.714
S12000005,2013,Count,GWh,Bioenergy & Wastes,Road Transport,6.458
S12000005,2013,Count,GWh,Bioenergy & Wastes,All,18.173
S12000005,2013,Count,GWh,Bioenergy & Wastes,Commercial,0
S12000005,2013,Count,GWh,Bioenergy & Wastes,Industrial,0
