"Local Authority"	"LACode"	"variable"	"value"
"Orkney Islands"	"S12000023"	"Capacity (%)"	0.0048
"Perth & Kinross"	"S12000048"	"Capacity (%)"	0.044
"Renfrewshire"	"S12000038"	"Capacity (%)"	0.0112
"Scottish Borders"	"S12000026"	"Capacity (%)"	0.0349
"Shetland Islands"	"S12000027"	"Capacity (%)"	0.0067
"South Ayrshire"	"S12000028"	"Capacity (%)"	0.0314
"South Lanarkshire"	"S12000029"	"Capacity (%)"	0.0333
"Stirling"	"S12000030"	"Capacity (%)"	0.0506
"West Dunbartonshire"	"S12000039"	"Capacity (%)"	0
"West Lothian"	"S12000040"	"Capacity (%)"	0.0089
"Unknown"	NA	"Capacity (%)"	0.0478
"TOTAL"	"S92000003"	"Capacity (%)"	1
