"Local Authority"	"LA Code"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"
"Renfrewshire"	"S12000038"	0.157900277941548	0.154186829370924	0.151355841315571	0.147117191847706	0.14416640600563	0.139590241468561	0.133382941121756	0.127468230694037	0.12214739036679
"Scottish Borders"	"S12000026"	0.230069504056711	0.226632345207451	0.223097874929141	0.219313530257772	0.215805888737755	0.21138345348438	0.204366032813894	0.196965952773202	0.190686691743774
"Shetland Islands"	"S12000027"	0.451458885941645	0.45003963011889	0.448780744720072	0.445689745469781	0.443236212278876	0.44096122904448	0.438405797101449	0.434488107549121	0.431272011601409
"South Ayrshire"	"S12000028"	0.12495233858668	0.122906088359512	0.120423983546907	0.118272435745541	0.115697656077479	0.111695096619878	0.106767035207402	0.102505837551519	0.0979671043365311
"South Lanarkshire"	"S12000029"	0.176105876692389	0.17379428135353	0.170430107526882	0.166585246702491	0.161779236255412	0.154286055753085	0.146261029739446	0.139988763048171	0.133512218607983
"Stirling"	"S12000030"	0.160515474807225	0.156662400604242	0.152745779751183	0.148246512892365	0.144386466227689	0.139911513530199	0.13490666448338	0.130682630815438	0.125550211933485
"West Dunbartonshire"	"S12000039"	0.13946652366482	0.135435071767485	0.130757741710644	0.125027479665048	0.123027138631355	0.119154337392408	0.115293138304198	0.111408040857533	0.107652707652708
"West Lothian"	"S12000040"	0.0749458186529125	0.0733201723764355	0.0720154258886653	0.0705800973189581	0.069474777763349	0.067357634177156	0.064313761936848	0.0613307172947083	0.0584341344065122
"(unallocated)"	""	0.120969327565867	0.114912155406371	0.110291737944426	0.104792077453087	0.0983754512635379	0.0923853453816779	0.0872764340654249	0.0844908463686641	0.082034230895018
"Scotland Total*"	"S92000003"	0.168154654882626	0.16483151056722	0.161341994310148	0.157059529596159	0.153419754760297	0.148364131486839	0.142708057065368	0.137674296323224	0.132712366318552
