"Date","Gas","Transport","Electricity","RollingGas","RollingTransport","RollingElectricity"
2013-11-22,289.487321,172.009991167336,99.1486849440438,NA,NA,NA
2013-11-23,277.78419,172.009991167336,89.5835788933061,NA,NA,NA
2013-11-24,286.090743,172.009991167336,90.9064292786025,NA,NA,NA
2013-11-25,304.941579,172.009991167336,100.542976407173,NA,NA,NA
2013-11-26,261.156936,172.009991167336,94.582225880869,NA,NA,NA
2013-11-27,241.663646,172.009991167336,89.2500375769782,NA,NA,NA
2013-11-28,245.764035,172.009991167336,92.8319910389207,NA,NA,NA
2013-11-29,222.906855,172.009991167336,92.9030404994267,NA,NA,NA
2013-11-30,213.309865,172.009991167336,86.538898736977,NA,NA,NA
2013-12-01,234.657789,156.847890777375,83.6131594971054,NA,NA,NA
2013-12-02,253.785676,156.847890777375,91.6131435751311,NA,NA,NA
2013-12-03,254.808052,156.847890777375,91.5356562959956,NA,NA,NA
2013-12-04,237.275601,156.847890777375,91.79297476217,NA,NA,NA
2013-12-05,264.335042,156.847890777375,99.4403767772797,NA,NA,NA
2013-12-06,295.602255,156.847890777375,100.499299246675,NA,NA,NA
2013-12-07,246.952661,156.847890777375,90.9591242921543,NA,NA,NA
2013-12-08,201.910966,156.847890777375,85.2264327158307,NA,NA,NA
2013-12-09,202.802278,156.847890777375,90.8537996576376,NA,NA,NA
2013-12-10,186.668836,156.847890777375,89.4748558878783,NA,NA,NA
2013-12-11,185.844574,156.847890777375,90.0856607377471,NA,NA,NA
2013-12-12,193.427848,156.847890777375,90.3187935577299,NA,NA,NA
2013-12-13,176.987482,156.847890777375,86.2205943910723,NA,NA,NA
2013-12-14,196.510716,156.847890777375,85.9069775885702,NA,NA,NA
2013-12-15,202.357757,156.847890777375,84.7771888739525,NA,NA,NA
2013-12-16,228.787966,156.847890777375,92.0487516647879,NA,NA,NA
2013-12-17,240.669207,156.847890777375,90.6618590188212,NA,NA,NA
2013-12-18,212.183941,156.847890777375,94.8107443353991,NA,NA,NA
2013-12-19,238.957368,156.847890777375,93.5833166225681,NA,NA,NA
2013-12-20,226.317498,156.847890777375,95.1125895681247,NA,NA,NA
2013-12-21,205.387663,156.847890777375,88.6004017085444,NA,NA,NA
2013-12-22,229.123828,156.847890777375,87.5724730964347,NA,NA,NA
2013-12-23,228.753399,156.847890777375,95.4472008649504,NA,NA,NA
2013-12-24,238.81334,156.847890777375,92.4918630754321,NA,NA,NA
2013-12-25,216.526061,156.847890777375,75.8297527381908,NA,NA,NA
2013-12-26,213.614404,156.847890777375,80.0731595463366,NA,NA,NA
2013-12-27,216.638646,156.847890777375,89.8532918383434,NA,NA,NA
2013-12-28,220.916721,156.847890777375,83.0965205875088,NA,NA,NA
2013-12-29,214.838495,156.847890777375,83.9500979392837,NA,NA,NA
2013-12-30,215.324099,156.847890777375,93.7658790497941,NA,NA,NA
2013-12-31,220.461521,156.847890777375,89.6478128381458,186.463491416438,160.739878977558,83.0382894077965
2014-01-01,209.635349,145.093654559006,82.6225684955175,186.434580413699,160.751610338757,83.0409389162709
2014-01-02,208.902651,145.093654559006,82.2693737704499,186.441154252055,160.763341699956,83.0404943334367
2014-01-03,229.534272,145.093654559006,90.2070585595165,186.522428073973,160.775073061155,83.0449808767721
2014-01-04,220.307047,145.093654559006,86.0381943011167,186.596086158904,160.786804422354,83.0449662270226
2014-01-05,230.887217,145.093654559006,86.9323840229924,186.716832189041,160.798535783553,83.0635602570545
2014-01-06,221.338772,145.093654559006,94.6760555006229,186.780082331507,160.810267144752,83.1047527024813
