Region,Year,variable,value
East Midlands,2020,Total,537.0770307646229
Eastern,2020,Total,546.108016101567
London,2020,Total,582.2205898997644
Merseyside & North Wales,2020,Total,561.1211866598946
North East,2020,Total,544.6097683848866
North Scotland,2020,Total,561.2959202820477
North West,2020,Total,552.6720468988187
South East,2020,Total,568.2229108053606
South Scotland,2020,Total,559.5876702653148
South Wales,2020,Total,556.3172786396124
South West,2020,Total,575.315330222319
Southern,2020,Total,573.8421785330553
West Midlands,2020,Total,553.6267262335479
Yorkshire,2020,Total,542.827945904897
United Kingdom,2020,Total,556.8859704484511
East Midlands,2021,Total,557.1603424478494
Eastern,2021,Total,570.2608008712261
London,2021,Total,600.826246489753
Merseyside & North Wales,2021,Total,578.1688595854746
North East,2021,Total,551.577722366577
North Scotland,2021,Total,583.299193887856
North West,2021,Total,567.6824066579826
South East,2021,Total,577.3006341565963
South Scotland,2021,Total,578.5108325155629
South Wales,2021,Total,584.0516464266153
South West,2021,Total,592.3757516115277
Southern,2021,Total,596.8697709059389
West Midlands,2021,Total,573.998534413915
Yorkshire,2021,Total,557.3730996148673
United Kingdom,2021,Total,575.2024159621377
