"Date"	"ScotDemand"	"ScotProp"	"NITransfer"	"NIProp"	"EnglandTransfer"	"EnglandProp"	"Fergus"	"GBTotal"	"FergusUKProp"
2019-08-17	64.309433	0.135359981784692	35.444444	0.0746042854118858	375.345426	0.790035732803422	475.099303	1478.503781	0.321337901942099
2019-08-18	63.443011	0.134527392035208	40.933333	0.086796866179613	367.22286	0.778675741785179	471.599204	1498.68925	0.314674442350207
2019-08-19	95.586691	0.202769570565533	90.611111	0.192214793437466	285.207699	0.605015635997001	471.405501	1594.071618	0.295724166767017
2019-08-20	113.246468	0.248074050720351	112.866667	0.247242070931475	230.389541	0.504683878348174	456.502676	1686.242085	0.270721908829597
2019-08-21	84.782709	0.189003382831755	89.577778	0.19969287686422	274.217246	0.611303740304024	448.577733	1587.031527	0.282652061643637
2019-08-22	70.745132	0.136932397665009	102.1	0.197622047006674	343.797629	0.665445555328317	516.642761	1413.443113	0.365520731784838
2019-08-23	91.870593	0.1903861196446	75.111111	0.1556549544149	315.567093	0.653958925940499	482.548797	1453.59529	0.331969152844462
2019-08-24	105.19635	0.220754886235321	78.755556	0.165268793120478	292.578203	0.613976320644201	476.530109	1397.857007	0.340900468798809
2019-08-25	110.293812	0.253478613455326	81.733333	0.18784056463587	243.093635	0.558680821908804	435.12078	1415.639017	0.307367043981382
2019-08-26	110.446756	0.230892061363501	85.9	0.179576374983116	282.001245	0.589531563653383	478.348001	1551.121747	0.308388430453744
2019-08-27	115.696771	0.235793903300834	91.1	0.185664858276001	283.872281	0.578541238423164	490.669052	1619.60732	0.30295556579727
2019-08-28	122.338172	0.244517254227916	91.244444	0.182370232820161	286.742698	0.573112512951923	500.325314	1608.612695	0.311029072165814
2019-08-29	88.18968	0.169567560792282	69.955556	0.134507722386428	361.940561	0.69592471682129	520.085797	1187.716744	0.437887063247464
2019-08-30	78.600922	0.154659573744364	81.122222	0.159620624751904	348.495779	0.685719801503731	508.218923	1358.202613	0.374184910362855
2019-08-31	74.843927	0.146011475732054	65.244444	0.127284042054038	372.500976	0.726704482213908	512.589347	1326.121035	0.386532852938269
2019-09-01	94.023403	0.168342489935732	77.966667	0.139593999323446	386.534418	0.692063510740822	558.524488	1388.460424	0.402261726978831
2019-09-02	89.842943	0.164850056170486	83.7	0.153578558768602	371.455009	0.681571385060911	544.997952	1629.241351	0.334510262500697
2019-09-03	107.927652	0.199460598240866	95.4	0.176308302085351	337.769953	0.624231099673782	541.097605	1634.153213	0.331118037583909
2019-09-04	90.598627	0.167012172035246	80.322222	0.148068344997295	371.546361	0.684919482967459	542.46721	1586.229994	0.34198521781325
2019-09-05	90.702568	0.16962397665732	88.433333	0.165380252657466	355.591381	0.664995770685215	534.727282	1669.997811	0.320196396952044
2019-09-06	88.153624	0.159027972952862	93.088889	0.167931125804924	373.085272	0.673040901242214	554.327785	1687.464422	0.328497465056481
2019-09-07	90.47604	0.162066928714638	120.088889	0.215111508118426	347.698504	0.622821563166936	558.263433	1697.754548	0.328824584011658
2019-09-08	120.851257	0.229298192169433	97.711111	0.185393033248854	308.486083	0.585308774581713	527.048451	1709.780187	0.308255093261295
2019-09-09	141.042292	0.241373798888158	155.433333	0.266002016331797	287.855784	0.492624184780045	584.331409	2079.11263	0.28104846296855
2019-09-10	119.133032	0.192393161784315	169.233333	0.273302336627912	330.850196	0.534304501587773	619.216561	1771.158974	0.34961094407102
2019-09-11	87.792271	0.141724902878133	158.433333	0.25576224964136	373.229899	0.602512847480507	619.455503	1690.98301	0.36632863803877
2019-09-12	90.576613	0.142508809900582	166.188889	0.261473464348793	378.820558	0.596017725750625	635.58606	1742.096147	0.364839828785868
2019-09-13	91.126936	0.144148476055932	163.611111	0.258807037213102	377.436073	0.597044486730966	632.17412	1816.882406	0.347944433779717
2019-09-14	84.384145	0.134850086414236	70.122222	0.112058819773054	471.256265	0.753091093812709	625.762632	1631.161002	0.383630206480378
2019-09-15	122.46235	0.185653888501486	106.7	0.161758041578563	430.464825	0.652588069919951	659.627175	1723.399668	0.3827476511966
2019-09-16	128.968395	0.197318975342505	123.533333	0.189003442961389	401.101884	0.613677581696106	653.603612	1864.396646	0.350571115541473
2019-09-17	137.232387	0.205673319271756	128.088889	0.191969749549437	401.91348	0.602356931178807	667.234756	1816.58636	0.367301423533754
2019-09-18	148.494677	0.22167077231825	132.277778	0.197462412809599	389.115936	0.580866814872151	669.888391	2072.627613	0.323207307862881
2019-09-19	148.795552	0.20936053288047	113.644444	0.159901697563814	448.274435	0.630737769555716	710.714431	1991.183982	0.356930568659024
2019-09-20	120.079366	0.170422396794611	81.577778	0.115779096068335	502.941361	0.713798507137054	704.598505	1546.208493	0.455694369931261
2019-09-21	74.636852	0.108015167526355	64.222222	0.0929430151776062	552.125847	0.799041817296039	690.984921	1550.564741	0.445634356779173
2019-09-22	107.670514	0.15429710278199	105.933333	0.15180763760392	484.209087	0.69389525961409	697.812934	1577.520915	0.442347817619901
2019-09-23	127.022952	0.175751119020678	103.422222	0.143096747177667	492.298173	0.681152133801655	722.743347	1787.531971	0.404324710676741
2019-09-24	125.439488	0.178114974074105	125.355556	0.177995796722202	453.466283	0.643889229203693	704.261327	1884.147301	0.373782520414523
2019-09-25	111.870409	0.170271935310697	122.8	0.186907278189656	422.339854	0.642820786499647	657.010263	1961.025158	0.335034081699425
2019-09-26	87.662945	0.140717180070053	107.598667	0.172718142192653	427.71097	0.686564677737294	622.972582	1783.725412	0.349253633888353
2019-09-27	96.087885	0.164612789253813	134.688889	0.230742030587802	352.94388	0.604645180158384	583.720654	1895.779825	0.307905299076595
2019-09-28	94.98114	0.161295626946284	180.366667	0.306296119776797	313.515895	0.532408253276919	588.863702	1693.472575	0.347725561484218
2019-09-29	97.34825	0.157559574390517	187.055556	0.302752168536584	333.446619	0.539688257072899	617.850425	1767.254441	0.34961033944291
2019-09-30	151.851907	0.423480810535048	207.904644	0.579799285333445	-1.17617799999999	-0.00328009586849303	358.580373	1899.914784	0.188734976968314
2019-10-01	171.836881	0.297658687621129	191.666667	0.332008170934713	213.791482	0.370333141444159	577.29503	2101.275441	0.274735533826667
2019-10-02	178.279375	0.293977173809366	205.688889	0.339174614406229	222.471252	0.366848211784405	606.439516	2300.561197	0.26360503549778
2019-10-03	173.162139	0.278977959181669	169.488889	0.273060061686974	278.050835	0.447961979131356	620.701863	2424.338896	0.256029329902728
2019-10-04	159.475705	0.265087369510125	195.233333	0.324525235274327	246.887731	0.410387395215548	601.596769	2249.816054	0.267398202591011
2019-10-05	120.922461	0.201986150937387	176	0.293986429576388	301.744628	0.504027419486225	598.667089	2191.174778	0.273217406028393
2019-10-06	121.903106	0.208421909248006	109.244444	0.186778961917647	353.738686	0.604799128834346	584.886236	2101.706395	0.278291124484112
2019-10-07	118.973027	0.209417964464677	97.277778	0.171229687687166	351.861999	0.619352347848157	568.112804	2095.039494	0.271170450784829
2019-10-08	127.386266	0.215927221412971	99.977778	0.169468220432671	362.585964	0.614604558154358	589.950008	1910.85703	0.308735817875396
2019-10-09	131.120034	0.207283158744111	156.044444	0.246685302543382	345.400342	0.546031538712507	632.56482	2084.140474	0.303513524108068
2019-10-10	127.923141	0.215555726493595	104.888889	0.176742069439188	360.64537	0.607702204067217	593.4574	2056.165769	0.288623324513676
2019-10-11	124.04821	0.20601996671028	112.466667	0.186785274784345	365.602539	0.607194758505374	602.117416	2043.765653	0.294611769757538
2019-10-12	157.146879	0.260482199173137	110.411111	0.183014318766263	335.73421	0.5565034820606	603.2922	2066.664333	0.291915910274724
2019-10-13	176.678099	0.289919070537683	120.755556	0.198153244550029	311.971234	0.511927684912288	609.404889	2203.309445	0.276586155604666
2019-10-14	184.659994	0.293984578300219	142.744444	0.227253690769855	300.723728	0.478761730929926	628.128166	2434.596588	0.258000922656349
2019-10-15	180.258418	0.295354563796641	131.822222	0.215991548741507	298.231304	0.488653887461852	610.311944	2422.986499	0.251884170321165
2019-10-16	170.454771	0.260706885442437	131.555556	0.201211377459233	351.807353	0.53808173709833	653.81768	2441.283117	0.267817229164085
2019-10-17	193.363754	0.295587177473564	131.311111	0.200729867250135	329.49341	0.503682955276301	654.168275	2575.99337	0.25394796532415
2019-10-18	177.193611	0.311613425092164	150.033333	0.263849246653274	241.405845	0.424537328254562	568.632789	2249.983053	0.252727587544189
2019-10-19	141.597494	0.347811437991881	108.744444	0.267113212054923	156.768003	0.385075349953196	407.109941	2172.702039	0.187374952336941
2019-10-20	179.449733	0.278453403842981	120.933333	0.187653097326853	344.068503	0.533893498830166	644.451569	2575.695248	0.250204898852226
2019-10-21	206.374551	0.314920604630931	174.011111	0.2655350866814	274.936816	0.419544308687669	655.322478	2685.342336	0.244036847449457
2019-10-22	168.745645	0.257311239254178	165.855556	0.252904296591185	321.20243	0.489784464154637	655.803631	2704.67501	0.242470399798606
2019-10-23	149.990313	0.234658528638056	136.766667	0.21397025049845	352.428452	0.551371220863494	639.185432	2704.879598	0.236308275042119
2019-10-24	188.544289	0.345424082259787	180.288889	0.330299710241882	177.001055	0.32427620749833	545.834233	2394.055153	0.227995680181391
2019-10-25	199.900243	0.316411385458672	202.244444	0.320121895636509	229.628543	0.36346671890482	631.77323	2533.303219	0.249387134260772
2019-10-26	190.379922	0.285725380180677	151.444444	0.227290361733372	324.479488	0.486984258085951	666.303854	2754.656609	0.241882727532374
2019-10-27	201.191411	0.315469973086581	166	0.260289518683143	270.55997	0.424240508230275	637.751381	2742.341594	0.2325572359021
2019-10-28	236.11736	0.363332692380133	161.255556	0.248136838912375	252.492524	0.388530468707491	649.86544	3249.105198	0.200013665423953
2019-10-29	241.059378	0.395563502166292	156.522222	0.256843267475658	211.825933	0.34759323035805	609.407533	3138.192663	0.194190605371382
2019-10-30	243.146719	0.396163995969895	133.2	0.217025524671752	237.405973	0.386810479358354	613.752692	3037.656045	0.202048119638246
2019-10-31	241.113037	0.363005564264265	173.636111	0.261416285218155	249.463913	0.375578150517579	664.213061	3180.915294	0.208811929777845
2019-11-01	197.479273	0.334059174913361	161.277778	0.272820132624958	232.393523	0.393120692461681	591.150574	2433.487318	0.24292321954069
2019-11-02	179.230674	0.262496211628439	124.955556	0.18300639806736	378.607144	0.554497390304201	682.793374	2538.963519	0.268926027841836
2019-11-03	175.859892	0.264085270852716	154.411111	0.231876066835659	335.649862	0.504038662311625	665.920865	2648.220756	0.251459725738967
2019-11-04	184.343778	0.274594554754405	160.266667	0.238729804413781	326.72034	0.486675640831814	671.330785	2678.879584	0.250601329380246
2019-11-05	207.520183	0.311927580063669	187.466667	0.281784754304653	270.296364	0.406287665631678	665.283214	3039.392097	0.218886932902359
2019-11-06	234.337203	0.354030082712455	188.966667	0.285485547712656	238.609381	0.360484369574889	661.913251	3200.878294	0.206791133621277
2019-11-07	221.900089	0.32909393919696	177.144444	0.262718068954066	275.231297	0.408187991848974	674.27583	2895.809306	0.232845384053062
2019-11-08	249.004464	0.343360398293569	193.766667	0.267191193637145	282.427422	0.389448408069286	725.198553	3373.701218	0.214956365765523
2019-11-09	232.90889	0.28522184047809	164.344444	0.201257344835692	419.335219	0.513520814686218	816.588553	3096.549194	0.263709213657014
2019-11-10	241.68593	0.323463769454248	150.222222	0.201052027248392	355.272685	0.475484203297361	747.180837	2958.559636	0.25254885110587
2019-11-11	232.152952	0.320463657184693	153.122222	0.211369732047889	339.153156	0.468166610767417	724.42833	3035.074913	0.238685485783922
2019-11-12	247.181957	0.364290427773999	170.733333	0.251622406702811	260.614636	0.38408716552319	678.529926	3215.48489	0.211019472711626
2019-11-13	261.171888	0.431611125672118	181.222222	0.299486777972913	162.715148	0.268902096354969	605.109258	3383.549556	0.178838597746254
2019-11-14	269.821712	0.431454939816064	158.811111	0.253944865410339	196.743519	0.314600194773598	625.376342	3406.373402	0.183590073135499
2019-11-15	251.826255	0.371909780738534	201.777778	0.297995652494171	223.512483	0.330094566767295	677.116516	3406.0474	0.198798324415567
2019-11-16	242.938231	0.311620416621496	201.622222	0.258623768524073	335.036191	0.429755814854431	779.596644	3236.65968	0.240864570599526
2019-11-17	256.801876	0.324942818516664	174.877778	0.221280618990694	358.619012	0.453776562492641	790.298666	3143.989661	0.251368086798553
2019-11-18	292.627007	0.455680243920096	191.844444	0.298741131014729	157.704748	0.245578625065175	642.176199	3612.486034	0.177765725031451
2019-11-19	280.44384	0.415914919838777	183.688889	0.272421564131018	210.149021	0.311663516030205	674.28175	3918.669003	0.172069074852659
2019-11-20	258.604207	0.45309033161417	177.288889	0.310620938616508	134.863305	0.236288729769322	570.756401	3513.989393	0.162424053452457
2019-11-21	249.433801	0.459528221761982	195.536111	0.36023330045026	97.8341839999999	0.180238477787758	542.804096	3541.262293	0.153279833880975
2019-11-22	229.842351	0.376587794329827	186.1	0.304917645594309	194.386381	0.318494560075864	610.328732	3167.008114	0.192714609508575
2019-11-23	194.53521	0.22960060950112	165.433333	0.195253055159535	487.307997	0.575146335339345	847.27654	2232.403071	0.379535645245491
2019-11-24	197.00409	0.250557346887514	147.2	0.187214597736738	442.059384	0.562228055375748	786.263474	2750.273982	0.285885507824289
2019-11-25	208.624612	0.278297464548576	177.133333	0.236289270898385	363.888166	0.485413264553039	749.646111	3099.117902	0.241890155426555
2019-11-26	208.834487	0.258513116173951	148.833333	0.184238576956809	450.161547	0.55724830686924	807.829367	3019.988791	0.267494160709287
2019-11-27	205.610268	0.2878090228298	180.733333	0.252986801045865	328.054669	0.459204176124335	714.39827	2897.42693	0.24656299788033
2019-11-28	229.826873	0.296768565751827	185.733333	0.23983189662384	358.871117	0.463399537624332	774.431323	3087.909349	0.250794707833892
2019-11-29	267.489956	0.343304250059186	188.822222	0.242339833194407	322.850783	0.414355916746407	779.162961	3282.721557	0.237352741458846
2019-11-30	277.246073	0.381276737727966	166.744444	0.229311733633044	283.161301	0.389411528638989	727.151818	3386.673818	0.214709729096208
2019-12-01	289.993514	0.367382019966909	177.1	0.224361417049278	322.257892	0.408256562983813	789.351406	3481.297739	0.226740562048778
2019-12-02	262.796538	0.312258064614252	203.533333	0.24184079870591	375.270612	0.445901136679837	841.600483	3849.202188	0.218642836072294
2019-12-03	238.782667	0.291947508849684	184.088889	0.225076188425586	395.024332	0.48297630272473	817.895888	3699.235053	0.221098653176068
2019-12-04	220.209841	0.317430399507499	170.619906	0.245946978025891	302.89663	0.43662262246661	693.726377	3559.745977	0.194880865511826
2019-12-05	203.900256	0.309545665868174	141.811111	0.215286707545873	312.996793	0.475167626585953	658.70816	3375.435409	0.195147612140251
2019-12-06	194.567842	0.287304358597512	131.788889	0.194603187429214	350.861822	0.518092453973274	677.218553	3076.184437	0.220148878218904
2019-12-07	181.88092	0.279685837751902	112.633333	0.17320094982417	355.790108	0.547113212423928	650.304361	2671.17998	0.243452094530897
2019-12-08	203.915667	0.296229119870347	107.455556	0.156101123799668	377.000221	0.547669756329985	688.371444	2726.051316	0.252515952271237
2019-12-09	234.82904	0.319788258589793	152.255556	0.207340366054644	347.242052	0.472871375355563	734.326648	3359.545995	0.218579132148479
2019-12-10	214.467388	0.358986724622396	115.9	0.193999478297072	267.056899	0.447013797080533	597.424287	3085.62251	0.193615481175628
2019-12-11	229.123958	0.362895391769828	161.266667	0.25542038820916	240.9868	0.381684220021012	631.377425	3423.394102	0.18443024851598
2019-12-12	275.282664	0.435414895227328	161.855556	0.256007112593552	195.09248	0.308577992179121	632.2307	3555.94306	0.177795507220523
