"Date"	"Fergus"	"GBTotal"	"UKProp"
2016-09-12	1050.91478	2281.36049	0.460652660816441
2016-09-13	1028.810292	2196.566383	0.46837204646412
2016-09-14	976.391682	2210.619053	0.441682469295174
2016-09-15	932.890848	2111.862543	0.441738431836944
2016-09-16	985.461506	2171.884963	0.453735590414878
2016-09-17	977.314962	1960.052442	0.498616741602468
2016-09-18	925.649185	1913.660585	0.483706040797198
2016-09-19	924.863384	2226.137638	0.415456514553571
2016-09-20	922.335888	2216.401651	0.416141130189043
2016-09-21	889.855826	2587.950418	0.343845778424029
2016-09-22	836.842346	2191.899306	0.381788681491558
2016-09-23	886.38558	2093.833451	0.423331463912122
2016-09-24	874.342124	1999.598455	0.437258851552773
2016-09-25	917.393425	1993.004856	0.460306668214159
2016-09-26	893.857918	2251.191984	0.397059835124217
2016-09-27	877.764777	2135.433318	0.411047617174998
2016-09-28	899.048609	1970.867796	0.456168907333448
2016-09-29	862.137058	1984.63966	0.434404831958261
2016-09-30	868.77896	2074.565266	0.418776393415236
2016-10-01	858.389584	2046.844486	0.419372155467213
2016-10-02	872.38403	1962.892253	0.444438062591916
2016-10-03	690.451921	2119.195307	0.325808536249274
2016-10-04	766.329817	1930.105506	0.397040376610376
2016-10-05	834.310804	1953.388148	0.427109586414876
2016-10-06	913.15993	2402.775856	0.380043743039842
2016-10-07	926.548869	2318.721543	0.3995947127835
2016-10-08	949.298469	2357.507467	0.402670397565277
2016-10-09	967.900612	2180.784964	0.443831293767119
2016-10-10	965.450137	2449.792865	0.39409459909583
2016-10-11	964.974924	2716.244941	0.355260642895018
2016-10-12	966.641826	2495.025017	0.387427708906215
2016-10-13	915.884924	2563.430559	0.357288759309044
2016-10-14	925.351773	2593.833763	0.356750608385076
2016-10-15	944.2267	2379.588601	0.396802497542305
2016-10-16	987.305103	2407.712955	0.410059305844454
2016-10-17	978.916937	2432.796314	0.402383434801603
2016-10-18	1001.209985	2430.62156	0.411915207812112
2016-10-19	948.479616	2539.786998	0.37344848869094
2016-10-20	946.676557	2459.984008	0.384830370409465
2016-10-21	983.444043	2366.43792	0.415579903739879
2016-10-22	973.904891	2498.469033	0.389800665181989
2016-10-23	998.370206	2528.681907	0.394818424269289
2016-10-24	1001.638935	2582.087044	0.387918345869675
2016-10-25	1011.250194	2577.922231	0.392273351709189
2016-10-26	987.717377	2426.014407	0.407135824976987
2016-10-27	997.869061	2392.533898	0.417076247836719
2016-10-28	999.981065	2386.882101	0.418948663019866
2016-10-29	661.355136	1864.488099	0.354711374320228
2016-10-30	1006.799111	2506.66245	0.401649257162647
2016-10-31	992.995929	2503.631145	0.396622294375556
2016-11-01	1073.70688	2586.776519	0.4150752382796
2016-11-02	1043.606192	2590.092991	0.402922287202159
2016-11-03	977.996687	2521.0236	0.387936347363031
2016-11-04	1001.127038	2736.482656	0.365844466729922
2016-11-05	970.49179	2345.038417	0.413848994099443
2016-11-06	1072.502516	2612.661266	0.410501939136568
2016-11-07	1071.25396	2829.935663	0.378543573978063
2016-11-08	1143.252693	2946.925947	0.387947547227592
2016-11-09	1137.669525	3019.990825	0.376712907728784
2016-11-10	1147.38685	2846.154966	0.403135761652691
2016-11-11	1168.737322	2803.048636	0.416952209458559
2016-11-12	1132.929354	2429.63206	0.466296676213599
2016-11-13	1097.012048	2650.247291	0.413928183881313
2016-11-14	1056.23581	2620.216573	0.403110117264341
2016-11-15	1102.250924	2668.689521	0.41303078358361
2016-11-16	1023.9595	2600.539767	0.393748833605127
2016-11-17	1119.694283	2741.497822	0.408424283256644
2016-11-18	1002.804533	2821.198507	0.355453375759212
2016-11-19	977.963333	2572.991369	0.380088073665046
2016-11-20	1105.064208	2754.504837	0.401184341067832
2016-11-21	1119.081327	2768.00006	0.404292378158402
2016-11-22	1079.604152	2264.479024	0.476756084096101
2016-11-23	1068.483192	2056.562275	0.519548182415239
2016-11-24	1053.74929	1889.798475	0.557598761952647
2016-11-25	702.236348	1773.423443	0.395977819494743
2016-11-26	816.25214	1626.173528	0.501946517973327
2016-11-27	955.043109	1759.619658	0.542755421410506
2016-11-28	939.939271	1942.883852	0.483785621066555
2016-11-29	872.310601	3114.451201	0.280084851135223
