"","Ref","County","Planning Authority","Technology Type","Development Status (short)","Operational","Installed Capacity (MWelec)","No. of Turbines","LA","LACode"
"527",493,"Highland","Highland Council","Small Hydro","Operational",2017-09-29,2,0,"Highland","S12000017"
"528",405,"Highland","Highland Council","Large Hydro","Operational",1962-01-01,15,0,"Highland","S12000017"
"529",479,"Highland","Highland Council","Small Hydro","Operational",2016-09-07,2,0,"Highland","S12000017"
"530",6675,"Highland","Highland Council","Small Hydro","Awaiting Construction",NA,1.4,0,"Highland","S12000017"
"531",2796,"Highland","Highland Council","Wind Onshore","Operational",2012-01-01,7.5,3,"Highland","S12000017"
"532",8196,"Highland","Highland Council","Wind Onshore","Under Construction",NA,4.5,2,"Highland","S12000017"
"533",5703,"Highland","Highland Council","Anaerobic Digestion","Operational",2017-10-01,2,0,"Highland","S12000017"
"534",468,"Highland","Highland Council","Small Hydro","Operational",1956-01-01,3,0,"Highland","S12000017"
"535",6091,"Highland","Highland Council","Biomass (dedicated)","Operational",2012-01-01,3.5,0,"Highland","S12000017"
"536",4664,"Highland","Highland Council","Wind Onshore","Operational",2016-09-30,69.5,23,"Highland","S12000017"
"537",6377,"Highland","Highland Council","Wind Onshore","Awaiting Construction",NA,18,5,"Highland","S12000017"
"538",3207,"Highland","Highland Council","Wind Onshore","Operational",2008-02-01,3.9,3,"Highland","S12000017"
"539",6728,"Highland","Highland Council","Wind Onshore","Awaiting Construction",NA,34.5,10,"Highland","S12000017"
"540",6793,"Highland","Highland Council","Wind Onshore","Awaiting Construction",NA,36,9,"Highland","S12000017"
"541",8849,"Highland","Highland Council","Biomass (dedicated)","Application Submitted",NA,260,0,"Highland","S12000017"
"542",5172,"Highland","Highland Council","Wind Onshore","Application Submitted",NA,22.8,4,"Highland","S12000017"
"543",444,"Highland","Highland Council","Small Hydro","Operational",2017-12-07,2,0,"Highland","S12000017"
"544",2991,"Highland","Highland Council","Wind Onshore","Operational",2009-07-01,4.6,2,"Highland","S12000017"
"545",5187,"Highland","Highland Council","Wind Onshore","Operational",2021-04-12,1.5,1,"Highland","S12000017"
"546",4679,"Highland","Highland Council","Wind Onshore","Operational",2007-07-01,5.2,4,"Highland","S12000017"
"547",8884,"Highland","Highland Council","Wind Onshore","Application Submitted",NA,34.5,10,"Highland","S12000017"
"548",398,"Highland","Highland Council","Large Hydro","Operational",1962-01-01,20,0,"Highland","S12000017"
"549",4013,"Highland","Highland Council","Wind Onshore","Operational",2012-09-17,36.8,16,"Highland","S12000017"
"550",6781,"Highland","Highland Council","Small Hydro","Awaiting Construction",NA,2,0,"Highland","S12000017"
"551",6522,"Highland","Highland Council","Small Hydro","Awaiting Construction",NA,4,0,"Highland","S12000017"
"552",3373,"Highland","Highland Council","Wind Onshore","Awaiting Construction",NA,4,4,"Highland","S12000017"
"553",402,"Highland","Highland Council","Large Hydro","Operational",1956-01-01,20,0,"Highland","S12000017"
"554",6545,"Highland","Highland Council","Small Hydro","Under Construction",NA,1.1,0,"Highland","S12000017"
"555",4359,"Highland","Highland Council","Wind Onshore","Awaiting Construction",NA,50,12,"Highland","S12000017"
"556",3598,"Highland","Highland Council","Wind Onshore","Operational",2008-12-01,10,4,"Highland","S12000017"
"557",4636,"Highland","Highland Council","Wind Onshore","Operational",2021-03-31,34,15,"Highland","S12000017"
"558",438,"Highland","Highland Council","Small Hydro","Operational",2017-12-07,1,0,"Highland","S12000017"
"559",6159,"Highland","Highland Council","Wind Onshore","Awaiting Construction",NA,1,2,"Highland","S12000017"
"560",3309,"Highland","Highland Council","Wind Onshore","Operational",2003-02-08,4.9,4,"Highland","S12000017"
"561",467,"Highland","Highland Council","Small Hydro","Operational",1955-01-01,2.4,0,"Highland","S12000017"
"562",6741,"Highland","Highland Council","Small Hydro","Under Construction",NA,0.4,0,"Highland","S12000017"
"563",488,"Highland","Highland Council","Small Hydro","Operational",2016-10-15,1.3,0,"Highland","S12000017"
"564",426,"Highland","Highland Council","Small Hydro","Operational",2009-08-05,2.5,0,"Highland","S12000017"
"565",428,"Highland","Highland Council","Small Hydro","Operational",2007-11-01,3,0,"Highland","S12000017"
"566",3846,"Highland","Highland Council","Wind Onshore","Operational",2020-03-01,29.9,13,"Highland","S12000017"
"567",4351,"Highland","Highland Council","Wind Onshore","Awaiting Construction",NA,38,14,"Highland","S12000017"
"568",5965,"Highland","Highland Council","Small Hydro","Operational",2017-12-07,2,0,"Highland","S12000017"
"569",3668,"Highland","Highland Council","Wind Onshore","Operational",2011-01-01,2.6,2,"Highland","S12000017"
"570",494,"Highland","Highland Council","Small Hydro","Operational",2016-12-15,1.2,0,"Highland","S12000017"
"571",4003,"Highland","Highland Council","Wind Onshore","Awaiting Construction",NA,36,12,"Highland","S12000017"
"572",7274,"Highland","Highland Council","Solar Photovoltaics","Under Construction",NA,0.5,0,"Highland","S12000017"
"573",496,"Highland","Highland Council","Small Hydro","Operational",2017-03-16,1.1,0,"Highland","S12000017"
"574",495,"Highland","Highland Council","Small Hydro","Operational",2017-10-01,2,0,"Highland","S12000017"
"575",396,"Highland","Highland Council","Large Hydro","Operational",1957-01-01,5,0,"Highland","S12000017"
"576",3202,"Highland","Highland Council","Wind Onshore","Operational",2008-06-14,47.5,19,"Highland","S12000017"
"577",454,"Highland","Highland Council","Small Hydro","Operational",2017-08-01,1.5,0,"Highland","S12000017"
"578",6779,"Highland","Highland Council","Small Hydro","Awaiting Construction",NA,1.1,0,"Highland","S12000017"
"579",460,"Highland","Highland Council","Small Hydro","Operational",2009-07-01,1.4,0,"Highland","S12000017"
"580",9235,"Highland","Highland Council","Wind Onshore","Application Submitted",NA,24,0,"Highland","S12000017"
"581",390,"Highland","Highland Council","Large Hydro","Operational",2006-08-01,7.5,0,"Highland","S12000017"
"582",3746,"Highland","Highland Council","Wind Onshore","Operational",2013-04-19,10,5,"Highland","S12000017"
"583",391,"Highland","Highland Council","Large Hydro","Operational",1909-01-01,19.5,0,"Highland","S12000017"
"584",4675,"Highland","Highland Council","Wind Onshore","Operational",2010-06-07,43,20,"Highland","S12000017"
"585",4121,"Highland","Highland Council","Wind Onshore","Operational",2015-12-03,29.9,12,"Highland","S12000017"
"586",4330,"Highland","Highland Council","Wind Onshore","Operational",2019-04-08,10,5,"Highland","S12000017"
"587",4122,"Highland","Highland Council","Wind Onshore","Operational",2015-08-07,22.5,9,"Highland","S12000017"
"588",3371,"Highland","Highland Council","Wind Onshore","Awaiting Construction",NA,49.9,12,"Highland","S12000017"
"589",469,"Highland","Highland Council","Small Hydro","Operational",1962-01-01,2,0,"Highland","S12000017"
"590",399,"Highland","Highland Council","Large Hydro","Operational",1962-01-01,20,0,"Highland","S12000017"
"591",9640,"Highland","Highland Council","Wind Onshore","Application Submitted",NA,20,9,"Highland","S12000017"
"592",6657,"Highland","Highland Council","Small Hydro","Awaiting Construction",NA,1,0,"Highland","S12000017"
"593",401,"Highland","Highland Council","Large Hydro","Operational",1954-04-01,15,0,"Highland","S12000017"
"594",8397,"Orkney Islands","Highland Council","Wind Onshore","Application Submitted",NA,28.8,6,"Highland","S12000017"
"595",435,"Highland","Highland Council","Small Hydro","Operational",2005-03-01,2,0,"Highland","S12000017"
"596",3204,"Highland","Highland Council","Wind Onshore","Application Submitted",NA,49.9,12,"Highland","S12000017"
"597",7476,"Highland","Highland Council","Wind Onshore","Application Submitted",NA,44.8,8,"Highland","S12000017"
"598",4674,"Highland","Highland Council","Wind Onshore","Operational",2010-06-21,41.4,18,"Highland","S12000017"
"599",3296,"Highland","Highland Council","Wind Onshore","Operational",1997-09-01,9,18,"Highland","S12000017"
"600",8046,"Highland","Highland Council","Wind Onshore","Operational",2021-06-26,0.2,3,"Highland","S12000017"
"601",3205,"Highland","Highland Council","Wind Onshore","Operational",2010-10-11,38,19,"Highland","S12000017"
"602",3757,"Highland","Highland Council","Wind Onshore","Operational",2013-03-31,10,5,"Highland","S12000017"
"603",8057,"Highland","Highland Council","Wind Onshore","Application Submitted",NA,45,9,"Highland","S12000017"
"604",6838,"Highland","Highland Council","Small Hydro","Awaiting Construction",NA,2,0,"Highland","S12000017"
"605",4120,"Highland","Highland Council","Wind Onshore","Operational",2017-04-26,54.4,17,"Highland","S12000017"
"606",7310,"Highland","Highland Council","Solar Photovoltaics","Operational",2019-11-01,0.2,0,"Highland","S12000017"
"607",6757,"Highland","Highland Council","Small Hydro","Awaiting Construction",NA,2.6,0,"Highland","S12000017"
"608",400,"Highland","Highland Council","Large Hydro","Operational",1959-01-01,18,0,"Highland","S12000017"
"609",3297,"Highland","Highland Council","Wind Onshore","Operational",1997-09-01,17,34,"Highland","S12000017"
"610",387,"Highland","Highland Council","Large Hydro","Operational",1957-01-01,36,0,"Highland","S12000017"
"611",471,"Highland","Highland Council","Small Hydro","Operational",1959-01-01,2.5,0,"Highland","S12000017"
"612",9596,"Highland","Highland Council","Small Hydro","Application Submitted",NA,0.55,0,"Highland","S12000017"
"613",6636,"Highland","Highland Council","Wind Onshore","Operational",2003-07-01,2.6,2,"Highland","S12000017"
"614",4707,"Highland","Highland Council","Small Hydro","Operational",2017-01-15,1.6,0,"Highland","S12000017"
"615",4299,"Highland","Highland Council","Wind Onshore","Operational",2017-05-15,9.2,4,"Highland","S12000017"
"616",2859,"Highland","Highland Council","Wind Onshore","Awaiting Construction",NA,42,14,"Highland","S12000017"
"617",6730,"Highland","Highland Council","Small Hydro","Awaiting Construction",NA,0.8,0,"Highland","S12000017"
"618",3108,"Highland","Highland Council","Wind Onshore","Operational",2004-06-01,48.3,24,"Highland","S12000017"
"619",4200,"Strathclyde","Inverclyde Council","Wind Onshore","Operational",2021-02-20,24,8,"Inverclyde","S12000018"
"635",747,"Lothian","Midlothian Council","Landfill Gas","Operational",2001-07-15,2.2,0,"Midlothian","S12000019"
"636",5247,"Midlothian","Midlothian Council","EfW Incineration","Operational",2019-05-01,12.5,0,"Midlothian","S12000019"
"637",675,"Lothian","Midlothian Council","Landfill Gas","Operational",2006-12-01,2,0,"Midlothian","S12000019"
"638",3570,"Borders","Midlothian Council","Wind Onshore","Operational",2000-08-21,17.2,26,"Midlothian","S12000019"
"639",3300,"Lothian","Midlothian Council","Wind Onshore","Operational",2002-09-05,31.2,24,"Midlothian","S12000019"
"640",799,"Lothian","Midlothian Council","Landfill Gas","Operational",2005-04-01,2,0,"Midlothian","S12000019"
"641",371,"Lothian","Midlothian Council","Anaerobic Digestion","Operational",2016-12-01,1.5,0,"Midlothian","S12000019"
"642",7222,"Midlothian","Midlothian Council","Solar Photovoltaics","Under Construction",NA,3,0,"Midlothian","S12000019"
"643",7512,"Moray","Moray Council","Anaerobic Digestion","Awaiting Construction",NA,2,0,"Moray","S12000020"
"644",5373,"Moray","Moray Council","Wind Onshore","Awaiting Construction",NA,15,5,"Moray","S12000020"
"645",3691,"Grampian","Moray Council","Wind Onshore","Operational",2014-11-01,4.6,2,"Moray","S12000020"
"646",7477,"Moray","Moray Council","Anaerobic Digestion","Operational",2015-12-15,1.5,0,"Moray","S12000020"
"647",6416,"Moray","Moray Council","Solar Photovoltaics","Awaiting Construction",NA,20,0,"Moray","S12000020"
"648",140,"Grampian","Moray Council","Biomass (dedicated)","Operational",2013-04-16,8.3,0,"Moray","S12000020"
"649",4072,"Grampian","Moray Council","Wind Onshore","Operational",2016-10-31,18,6,"Moray","S12000020"
"650",3804,"Grampian","Moray Council","Wind Onshore","Operational",2013-07-05,1.6,2,"Moray","S12000020"
"651",4303,"Grampian","Moray Council","Wind Onshore","Operational",2015-08-01,18.4,8,"Moray","S12000020"
"652",4014,"Grampian","Moray Council","Wind Onshore","Operational",2012-06-01,48,21,"Moray","S12000020"
"653",4381,"Grampian","Moray Council","Wind Onshore","Operational",2016-12-01,27.6,12,"Moray","S12000020"
"654",4252,"Grampian","Moray Council","Wind Onshore","Awaiting Construction",NA,29,13,"Moray","S12000020"
"655",4305,"Grampian","Moray Council","Wind Onshore","Awaiting Construction",NA,13.8,6,"Moray","S12000020"
"656",3951,"Grampian","Moray Council","Wind Onshore","Operational",2013-04-15,41.4,18,"Moray","S12000020"
"657",186,"Grampian","Moray Council","Biomass (dedicated)","Operational",2016-06-24,12.5,0,"Moray","S12000020"
"658",4370,"Strathclyde","North Ayrshire Council","Wind Onshore","Operational",2014-06-01,2.5,1,"North Ayrshire","S12000021"
"659",3149,"Strathclyde","North Ayrshire Council","Wind Onshore","Operational",2012-05-02,28,14,"North Ayrshire","S12000021"
"660",5784,"Strathclyde","North Ayrshire Council","Solar Photovoltaics","Awaiting Construction",NA,5,0,"North Ayrshire","S12000021"
"661",3841,"Strathclyde","North Ayrshire Council","Wind Onshore","Operational",2013-06-30,7.5,3,"North Ayrshire","S12000021"
"662",3690,"Strathclyde","North Ayrshire Council","Wind Onshore","Operational",2012-05-01,18,6,"North Ayrshire","S12000021"
"663",266,"Strathclyde","North Ayrshire Council","Anaerobic Digestion","Operational",2012-05-11,2.2,0,"North Ayrshire","S12000021"
"664",7376,"North Ayrshire","North Ayrshire Council","Wind Onshore","Awaiting Construction",NA,3,2,"North Ayrshire","S12000021"
"665",4315,"Strathclyde","North Ayrshire Council","Wind Onshore","Awaiting Construction",NA,9,3,"North Ayrshire","S12000021"
"666",7282,"North Ayrshire","North Ayrshire Council","Small Hydro","Awaiting Construction",NA,1,0,"North Ayrshire","S12000021"
"667",34,"Strathclyde","North Ayrshire Council","Biomass (dedicated)","Operational",2009-06-04,26,0,"North Ayrshire","S12000021"
"668",4235,"Strathclyde","North Ayrshire Council","Wind Onshore","Operational",2016-03-31,6.4,2,"North Ayrshire","S12000021"
"669",343,"Strathclyde","North Ayrshire Council","Anaerobic Digestion","Operational",2015-03-15,1,0,"North Ayrshire","S12000021"
"670",682,"Strathclyde","North Ayrshire Council","Landfill Gas","Operational",2004-10-13,1.2,0,"North Ayrshire","S12000021"
"671",4691,"Strathclyde","North Ayrshire Council","Wind Onshore","Operational",2006-03-01,18,6,"North Ayrshire","S12000021"
"672",9352,"Ayrshire","North Ayrshire Council","Solar Photovoltaics","Application Submitted",NA,1,0,"North Ayrshire","S12000021"
"673",7232,"North Ayrshire","North Ayrshire Council","Solar Photovoltaics","Awaiting Construction",NA,19.9,0,"North Ayrshire","S12000021"
"674",4668,"Strathclyde","North Ayrshire Council","Wind Onshore","Operational",2008-11-01,6,3,"North Ayrshire","S12000021"
"675",3117,"Strathclyde","North Ayrshire Council","Wind Onshore","Operational",2003-12-19,24,12,"North Ayrshire","S12000021"
"676",6753,"North Ayrshire","North Ayrshire Council","EfW Incineration","Under Construction",NA,15,0,"North Ayrshire","S12000021"
"677",5332,"North Ayrshire","North Ayrshire Council","Solar Photovoltaics","Operational",2017-03-31,5,0,"North Ayrshire","S12000021"
"678",687,"Strathclyde","North Lanarkshire Council","Landfill Gas","Operational",2002-12-01,2.2,0,"North Lanarkshire","S12000050"
"679",5909,"North Lanarkshire","North Lanarkshire Council","Solar Photovoltaics","Awaiting Construction",NA,5,0,"North Lanarkshire","S12000050"
"680",4213,"Strathclyde","North Lanarkshire Council","Wind Onshore","Awaiting Construction",NA,24,8,"North Lanarkshire","S12000050"
"681",7391,"North Lanarkshire","North Lanarkshire Council","Solar Photovoltaics","Operational",2019-03-01,0.2,0,"North Lanarkshire","S12000050"
"682",5902,"North Lanarkshire","North Lanarkshire Council","Solar Photovoltaics","Awaiting Construction",NA,4.8,0,"North Lanarkshire","S12000050"
"683",7370,"North Lanarkshire","North Lanarkshire Council","Wind Onshore","Awaiting Construction",NA,4.2,1,"North Lanarkshire","S12000050"
"684",210,"Strathclyde","North Lanarkshire Council","Anaerobic Digestion","Operational",2010-09-28,1,0,"North Lanarkshire","S12000050"
"685",5903,"North Lanarkshire","North Lanarkshire Council","Solar Photovoltaics","Awaiting Construction",NA,4.1,0,"North Lanarkshire","S12000050"
"686",4085,"Strathclyde","North Lanarkshire Council","Wind Onshore","Operational",2015-06-18,5.7,2,"North Lanarkshire","S12000050"
"687",3747,"Strathclyde","North Lanarkshire Council","Wind Onshore","Operational",2013-05-17,2.5,1,"North Lanarkshire","S12000050"
"688",1007,"Strathclyde","North Lanarkshire Council","Advanced Conversion Technologies","Under Construction",NA,25,0,"North Lanarkshire","S12000050"
"689",6312,"North Lanarkshire","North Lanarkshire Council","Wind Onshore","Awaiting Construction",NA,21,7,"North Lanarkshire","S12000050"
"690",760,"Strathclyde","North Lanarkshire Council","Landfill Gas","Operational",2002-12-01,2.2,0,"North Lanarkshire","S12000050"
"691",4106,"Strathclyde","North Lanarkshire Council","Wind Onshore","Awaiting Construction",NA,17.5,9,"North Lanarkshire","S12000050"
"692",231,"Strathclyde","North Lanarkshire Council","Anaerobic Digestion","Operational",2011-06-22,2.4,0,"North Lanarkshire","S12000050"
"693",6731,"North Lanarkshire","North Lanarkshire Council","Biomass (dedicated)","Operational",2017-03-30,17,0,"North Lanarkshire","S12000050"
"694",7991,"North Lanarkshire","North Lanarkshire Council","Wind Onshore","Awaiting Construction",NA,8.4,2,"North Lanarkshire","S12000050"
"695",716,"Strathclyde","North Lanarkshire Council","Landfill Gas","Operational",2002-11-01,2.3,0,"North Lanarkshire","S12000050"
"696",211,"Strathclyde","North Lanarkshire Council","Anaerobic Digestion","Operational",2011-10-05,2.4,0,"North Lanarkshire","S12000050"
"697",4307,"Strathclyde","North Lanarkshire Council","Wind Onshore","Under Construction",NA,27.2,8,"North Lanarkshire","S12000050"
"698",3236,"Strathclyde","North Lanarkshire Council","Wind Onshore","Operational",2007-11-01,4,2,"North Lanarkshire","S12000050"
"699",639,"Strathclyde","North Lanarkshire Council","Landfill Gas","Operational",2006-01-01,4,0,"North Lanarkshire","S12000050"
"700",694,"Strathclyde","North Lanarkshire Council","Landfill Gas","Operational",1996-05-01,1.9,0,"North Lanarkshire","S12000050"
"701",693,"Strathclyde","North Lanarkshire Council","Landfill Gas","Operational",1999-08-13,2,0,"North Lanarkshire","S12000050"
"702",4747,"North Lanarkshire","North Lanarkshire Council","Wind Onshore","Operational",2016-10-01,1.5,1,"North Lanarkshire","S12000050"
"703",695,"Strathclyde","North Lanarkshire Council","Landfill Gas","Operational",1996-10-01,1.9,0,"North Lanarkshire","S12000050"
"704",692,"Strathclyde","North Lanarkshire Council","Landfill Gas","Operational",1999-08-13,2,0,"North Lanarkshire","S12000050"
"705",5062,"North Lanarkshire","North Lanarkshire Council","Wind Onshore","Application Submitted",NA,2.3,1,"North Lanarkshire","S12000050"
"706",5348,"North Lanarkshire","North Lanarkshire Council","Wind Onshore","Application Submitted",NA,13.2,4,"North Lanarkshire","S12000050"
"707",3799,"Strathclyde","North Lanarkshire Council","Wind Onshore","Operational",2013-12-30,9,3,"North Lanarkshire","S12000050"
"709",3321,"Orkney Islands","Orkney Islands Council","Wind Onshore","Operational",2014-10-20,1,2,"Orkney Islands","S12000023"
"710",5198,"Orkney Islands","Orkney Islands Council","Wind Onshore","Awaiting Construction",NA,20.4,5,"Orkney Islands","S12000023"
"711",3408,"Orkney Islands","Orkney Islands Council","Wind Onshore","Operational",2009-11-01,2.3,1,"Orkney Islands","S12000023"
"712",2742,"Orkney Islands","Orkney Islands Council","Wind Onshore","Operational",2010-07-01,2,1,"Orkney Islands","S12000023"
"713",7957,"Orkney Islands","Orkney Islands Council","Wind Onshore","Awaiting Construction",NA,8.4,2,"Orkney Islands","S12000023"
"714",5188,"Orkney Islands","Orkney Islands Council","Wind Onshore","Awaiting Construction",NA,16.3,5,"Orkney Islands","S12000023"
"715",3529,"Orkney Islands","Orkney Islands Council","Wind Onshore","Operational",2002-04-10,2.7,3,"Orkney Islands","S12000023"
"716",3902,"Orkney Islands","Orkney Islands Council","Wind Onshore","Operational",2013-07-01,1.8,2,"Orkney Islands","S12000023"
"717",3837,"Orkney Islands","Orkney Islands Council","Wind Onshore","Operational",2012-12-01,10,5,"Orkney Islands","S12000023"
"718",4008,"Orkney Islands","Orkney Islands Council","Wind Onshore","Operational",2002-05-10,2.7,3,"Orkney Islands","S12000023"
"719",3751,"Orkney Islands","Orkney Islands Council","Wind Onshore","Awaiting Construction",NA,2.3,1,"Orkney Islands","S12000023"
"720",3892,"Orkney Islands","Orkney Islands Council","Wind Onshore","Awaiting Construction",NA,1.8,2,"Orkney Islands","S12000023"
"721",3308,"Orkney Islands","Orkney Islands Council","Wind Onshore","Operational",2000-04-01,2.3,2,"Orkney Islands","S12000023"
"722",3120,"Orkney Islands","Orkney Islands Council","Wind Onshore","Operational",2000-04-01,1.5,1,"Orkney Islands","S12000023"
"723",3693,"Orkney Islands","Orkney Islands Council","Wind Onshore","Operational",2013-02-18,1.8,2,"Orkney Islands","S12000023"
"724",3307,"Orkney Islands","Orkney Islands Council","Wind Onshore","Operational",2006-12-01,5,2,"Orkney Islands","S12000023"
"725",2697,"Orkney Islands","Orkney Islands Council","Wind Onshore","Operational",2010-09-20,4.3,5,"Orkney Islands","S12000023"
"726",4678,"Orkney Islands","Orkney Islands Council","Wind Onshore","Operational",2010-06-01,1.8,1,"Orkney Islands","S12000023"
"728",7915,"Perth and Kinross","Perth and Kinross Council","Solar Photovoltaics","Operational",2021-05-17,0.3,0,"Perth and Kinross","S12000048"
"729",465,"Tayside","Perth and Kinross Council","Small Hydro","Operational",1962-01-01,2.2,0,"Perth and Kinross","S12000048"
"730",7287,"Perth and Kinross","Perth and Kinross Council","Solar Photovoltaics","Awaiting Construction",NA,0.4,0,"Perth and Kinross","S12000048"
"731",1930,"Tayside","Perth and Kinross Council","Solar Photovoltaics","Operational",2016-03-19,13,0,"Perth and Kinross","S12000048"
"732",7347,"Perth and Kinross","Perth and Kinross Council","Solar Photovoltaics","Under Construction",NA,1.8,0,"Perth and Kinross","S12000048"
"733",5951,"Perth and Kinross","Perth and Kinross Council","Anaerobic Digestion","Operational",2018-04-20,1.5,0,"Perth and Kinross","S12000048"
"734",8188,"Tayside","Perth and Kinross Council","Biomass (dedicated)","Under Construction",NA,1.4,0,"Perth and Kinross","S12000048"
"735",394,"Tayside","Perth and Kinross Council","Large Hydro","Operational",1950-01-01,15,0,"Perth and Kinross","S12000048"
"736",462,"Tayside","Perth and Kinross Council","Small Hydro","Operational",1958-01-01,4,0,"Perth and Kinross","S12000048"
"737",504,"Tayside","Perth and Kinross Council","Small Hydro","Operational",2010-05-01,2,0,"Perth and Kinross","S12000048"
"738",419,"Tayside","Perth and Kinross Council","Small Hydro","Operational",1952-01-01,1.9,0,"Perth and Kinross","S12000048"
"739",393,"Tayside","Perth and Kinross Council","Large Hydro","Operational",1953-01-01,6.4,0,"Perth and Kinross","S12000048"
"740",3396,"Tayside","Perth and Kinross Council","Wind Onshore","Operational",2018-01-23,9.2,4,"Perth and Kinross","S12000048"
"741",4599,"Tayside","Perth and Kinross Council","Wind Onshore","Operational",2018-01-23,14.4,7,"Perth and Kinross","S12000048"
"742",4450,"Tayside","Perth and Kinross Council","Wind Onshore","Operational",2014-09-09,4,2,"Perth and Kinross","S12000048"
"743",7807,"Perth and Kinross","Perth and Kinross Council","EfW Incineration","Awaiting Construction",NA,7.3,0,"Perth and Kinross","S12000048"
"744",429,"Tayside","Perth and Kinross Council","Small Hydro","Operational",2011-02-01,1.4,0,"Perth and Kinross","S12000048"
"745",4009,"Tayside","Perth and Kinross Council","Wind Onshore","Operational",2008-11-09,36.8,16,"Perth and Kinross","S12000048"
"746",3629,"Tayside","Perth and Kinross Council","Wind Onshore","Awaiting Construction",NA,33,11,"Perth and Kinross","S12000048"
"747",478,"Tayside","Perth and Kinross Council","Small Hydro","Operational",2015-12-20,1.9,0,"Perth and Kinross","S12000048"
"748",476,"Tayside","Perth and Kinross Council","Small Hydro","Operational",2017-07-15,2,0,"Perth and Kinross","S12000048"
"749",5569,"Perth and Kinross","Perth and Kinross Council","Solar Photovoltaics","Awaiting Construction",NA,10,0,"Perth and Kinross","S12000048"
"750",464,"Tayside","Perth and Kinross Council","Small Hydro","Operational",1958-01-01,4,0,"Perth and Kinross","S12000048"
"751",453,"Tayside","Perth and Kinross Council","Small Hydro","Operational",2016-01-29,1.1,0,"Perth and Kinross","S12000048"
"752",407,"Tayside","Perth and Kinross Council","Large Hydro","Operational",2004-09-01,11,0,"Perth and Kinross","S12000048"
"753",463,"Tayside","Perth and Kinross Council","Small Hydro","Operational",1961-01-01,3,0,"Perth and Kinross","S12000048"
"754",2860,"Perth and Kinross","Perth and Kinross Council","Wind Onshore","Awaiting Construction",NA,20.7,9,"Perth and Kinross","S12000048"
"755",926,"Tayside","Perth and Kinross Council","Advanced Conversion Technologies","Awaiting Construction",NA,4.6,0,"Perth and Kinross","S12000048"
"756",477,"Tayside","Perth and Kinross Council","Small Hydro","Operational",2015-11-15,1.2,0,"Perth and Kinross","S12000048"
"757",3487,"Tayside","Perth and Kinross Council","Wind Onshore","Operational",2008-09-29,27,18,"Perth and Kinross","S12000048"
"758",6594,"Perth and Kinross","Perth and Kinross Council","Solar Photovoltaics","Awaiting Construction",NA,10,0,"Perth and Kinross","S12000048"
"759",3581,"Tayside","Perth and Kinross Council","Wind Onshore","Operational",2011-05-25,9.6,12,"Perth and Kinross","S12000048"
"760",4027,"Tayside","Perth and Kinross Council","Wind Onshore","Operational",2013-09-30,32.2,14,"Perth and Kinross","S12000048"
"761",472,"Tayside","Perth and Kinross Council","Small Hydro","Operational",2010-10-13,1,0,"Perth and Kinross","S12000048"
"762",715,"Tayside","Perth and Kinross Council","Landfill Gas","Operational",2004-04-01,1.9,0,"Perth and Kinross","S12000048"
"763",171,"Borders","Scottish Borders Council","Advanced Conversion Technologies","Operational",2015-06-30,10,0,"Scottish Borders","S12000026"
"764",3605,"Borders","Scottish Borders Council","Wind Onshore","Operational",2009-09-01,38,19,"Scottish Borders","S12000026"
"765",4578,"Borders","Scottish Borders Council","Wind Onshore","Awaiting Construction",NA,15,6,"Scottish Borders","S12000026"
"766",3574,"Borders","Scottish Borders Council","Wind Onshore","Operational",2007-02-14,28.6,22,"Scottish Borders","S12000026"
"767",6147,"Scottish Borders","Scottish Borders Council","Wind Onshore","Awaiting Construction",NA,36,12,"Scottish Borders","S12000026"
"768",4601,"Borders","Scottish Borders Council","Wind Onshore","Operational",2017-03-15,5,2,"Scottish Borders","S12000026"
"769",4600,"Borders","Scottish Borders Council","Wind Onshore","Operational",2016-07-01,28.7,14,"Scottish Borders","S12000026"
"770",4179,"Borders","Scottish Borders Council","Wind Onshore","Operational",2017-03-09,29.9,13,"Scottish Borders","S12000026"
"771",4620,"Borders","Scottish Borders Council","Wind Onshore","Operational",2015-03-26,16,10,"Scottish Borders","S12000026"
"772",4575,"Borders","Scottish Borders Council","Wind Onshore","Operational",2017-03-31,6.9,3,"Scottish Borders","S12000026"
"773",3457,"Borders","Scottish Borders Council","Wind Onshore","Operational",2010-10-12,27.6,12,"Scottish Borders","S12000026"
"774",3579,"Borders","Scottish Borders Council","Wind Onshore","Operational",2009-09-20,29.8,35,"Scottish Borders","S12000026"
"775",3429,"Borders","Scottish Borders Council","Wind Onshore","Operational",2018-05-15,1,2,"Scottish Borders","S12000026"
"776",3538,"Borders","Scottish Borders Council","Wind Onshore","Operational",2012-02-01,22,11,"Scottish Borders","S12000026"
"777",3299,"Borders","Scottish Borders Council","Wind Onshore","Operational",2002-09-15,30,24,"Scottish Borders","S12000026"
"778",4023,"Borders","Scottish Borders Council","Wind Onshore","Operational",2012-09-01,28.6,22,"Scottish Borders","S12000026"
"779",6207,"Scottish Borders","Scottish Borders Council","Wind Onshore","Awaiting Construction",NA,21,7,"Scottish Borders","S12000026"
"780",2672,"Borders","Scottish Borders Council","Wind Onshore","Operational",2013-02-18,2.4,3,"Scottish Borders","S12000026"
"781",3214,"Borders","Scottish Borders Council","Wind Onshore","Operational",2010-11-02,6,3,"Scottish Borders","S12000026"
