"Ref"	"LA"	"Site"	"TechType"	"Capacity"	"Status"	"TurbineAmount"
4136	"Aberdeenshire"	"Cairnandrew"	"Wind Onshore"	1.5	"Application Refused"	3
7600	"Aberdeenshire"	"Cairnandrew"	"Wind Onshore"	6	"Application Refused"	2
6249	"Aberdeenshire"	"Cairnandrew Wind Farm (Resubmission)"	"Wind Onshore"	1.5	"Application Refused"	3
3622	"Aberdeenshire"	"Cairnborrow"	"Wind Onshore"	25	"Application Refused"	10
4350	"Aberdeenshire"	"Cairnborrow - resubmission"	"Wind Onshore"	10	"Operational"	5
2783	"Aberdeenshire"	"Cairnbrogie Wind Farm (Resubmission)"	"Wind Onshore"	4.6	"Application Refused"	2
2722	"Aberdeenshire"	"Cairncake"	"Wind Onshore"	4.6	"Application Refused"	2
1358	"Aberdeenshire"	"Cairnhill Farm solar park"	"Solar Photovoltaics"	2.4	"Operational"	0
3407	"Aberdeenshire"	"Cairnmore Extension"	"Wind Onshore"	4.25	"Application Refused"	5
2724	"Aberdeenshire"	"Cairnmore Farm"	"Wind Onshore"	2.55	"Operational"	3
4780	"Aberdeenshire"	"Cairnmore Solar Park"	"Solar Photovoltaics"	3.75	"Operational"	0
5945	"Aberdeenshire"	"Cairnmore Solar Park (extension)"	"Solar Photovoltaics"	1.2	"Operational"	0
6519	"Aberdeenshire"	"Cardinghill Wind Turbine"	"Wind Onshore"	1.5	"Application Refused"	1
3718	"Aberdeenshire"	"Castle of Auchry Farm"	"Wind Onshore"	2.4	"Operational"	3
3104	"Aberdeenshire"	"Clashindarroch"	"Wind Onshore"	129	"Application Refused"	40
6373	"Aberdeenshire"	"Clashindarroch 2 (extension)"	"Wind Onshore"	70	"Application Submitted"	14
4623	"Aberdeenshire"	"Clashindarroch 2 (Revised)"	"Wind Onshore"	37	"Operational"	18
2839	"Aberdeenshire"	"Clochnahill Wind Farm"	"Wind Onshore"	5.2	"Operational"	4
3265	"Aberdeenshire"	"Clochnahill Windfarm"	"Wind Onshore"	6	"Application Refused"	3
2685	"Aberdeenshire"	"Cloffrickford"	"Wind Onshore"	9.2	"Application Withdrawn"	4
3076	"Aberdeenshire"	"Cloffrickford Farm"	"Wind Onshore"	10	"Application Withdrawn"	9
2882	"Aberdeenshire"	"Coldhome Wind Turbines"	"Wind Onshore"	1.5	"Application Withdrawn"	3
3624	"Aberdeenshire"	"Cornabo"	"Wind Onshore"	2.7	"Awaiting Construction"	3
2782	"Aberdeenshire"	"Courtstone Wind Turbine"	"Wind Onshore"	2.3	"Operational"	1
6259	"Aberdeenshire"	"Craigneil Hill"	"Wind Onshore"	37.95	"Application Submitted"	11
3403	"Aberdeenshire"	"Denhill"	"Wind Onshore"	2.3	"Operational"	1
4360	"Aberdeenshire"	"Deuchries"	"Wind Onshore"	6.9	"Operational"	3
7304	"Aberdeenshire"	"Deuchries Windfarm (extension)"	"Wind Onshore"	2	"Awaiting Construction"	2
2856	"Aberdeenshire"	"Droop Hill Wind Farm"	"Wind Onshore"	3.9	"Application Withdrawn"	3
3398	"Aberdeenshire"	"Droop Hill Wind Farm x"	"Wind Onshore"	4.6	"Operational"	2
3200	"Aberdeenshire"	"Dummuie"	"Wind Onshore"	12.25	"Operational"	7
4918	"Aberdeenshire"	"East Redhill Farms"	"Wind Onshore"	1.5	"Application Withdrawn"	3
3819	"Aberdeenshire"	"Easter Melrose Wind Energy Project"	"Wind Onshore"	1.5	"Operational"	3
4133	"Aberdeenshire"	"Easter Tolmauds"	"Wind Onshore"	1.6	"Operational"	2
4365	"Aberdeenshire"	"Easter Tulloch Wind Farm (Tullo Extension)"	"Wind Onshore"	25	"Operational"	10
6577	"Aberdeenshire"	"Fetteresso Wind Farm (Mid Hill 3)"	"Wind Onshore"	40	"Application Submitted"	10
4540	"Aberdeenshire"	"Floors Farm Wind Turbines"	"Wind Onshore"	6.9	"Application Refused"	3
7234	"Aberdeenshire"	"Fordtown Energy Storage"	"Battery"	20	"Abandoned"	0
7764	"Aberdeenshire"	"Fordtown Energy Storage (Resubmission)"	"Battery"	29.9	"Awaiting Construction"	0
7041	"Aberdeenshire"	"Fraserburgh Development"	"Battery"	25	"Awaiting Construction"	0
3910	"Aberdeenshire"	"Fraserburgh Harbour Wind Turbines"	"Wind Onshore"	1.8	"Application Withdrawn"	2
3405	"Aberdeenshire"	"Gairnieston Farm"	"Wind Onshore"	2.3	"Operational"	1
4892	"Aberdeenshire"	"Gawnsmoss Cluster"	"Wind Onshore"	2.4	"Operational"	3
6057	"Aberdeenshire"	"Glendye Estate"	"Wind Onshore"	104	"Application Submitted"	26
3311	"Aberdeenshire"	"Glens of Foudland"	"Wind Onshore"	26	"Operational"	20
5587	"Aberdeenshire"	"Glens of Foudland Wind Farm (Extension)"	"Wind Onshore"	14	"Application Withdrawn"	7
3666	"Aberdeenshire"	"Gordonstown Hill Wind Farm"	"Wind Onshore"	12.5	"Operational"	5
3698	"Aberdeenshire"	"Greenhill Croft"	"Wind Onshore"	4.6	"Operational"	2
4137	"Aberdeenshire"	"Greenleys"	"Wind Onshore"	1.7	"Application Withdrawn"	2
3404	"Aberdeenshire"	"Haddo"	"Wind Onshore"	4.6	"Operational"	2
4375	"Aberdeenshire"	"Hassiewells"	"Wind Onshore"	6.9	"Application Refused"	3
4005	"Aberdeenshire"	"Herscha Wind energy Project (Extension)"	"Wind Onshore"	1.6	"Awaiting Construction"	2
2758	"Aberdeenshire"	"Hill of Balquhindachy extension"	"Wind Onshore"	1.7	"Operational"	2
5479	"Aberdeenshire"	"Hill of Blairfowl Solar Farm"	"Solar Photovoltaics"	1.5	"Awaiting Construction"	0
3551	"Aberdeenshire"	"Hill of Braco"	"Wind Onshore"	20	"Application Withdrawn"	8
3923	"Aberdeenshire"	"Hill of Carlincraig wind turbines"	"Wind Onshore"	4.6	"Awaiting Construction"	2
3320	"Aberdeenshire"	"Hill of Corksie - resubmission"	"Wind Onshore"	7.2	"Application Withdrawn"	8
2693	"Aberdeenshire"	"Hill of Corskie"	"Wind Onshore"	8	"Application Refused"	4
3348	"Aberdeenshire"	"Hill of Corskie - resubmission 2"	"Wind Onshore"	4.5	"Application Refused"	5
3532	"Aberdeenshire"	"Hill of Easterton"	"Wind Onshore"	2.5	"Operational"	1
4056	"Aberdeenshire"	"Hill of Easterton Extension"	"Wind Onshore"	2	"Operational"	2
3812	"Aberdeenshire"	"Hill of Easterton Extension 2"	"Wind Onshore"	2.3	"Application Refused"	1
2975	"Aberdeenshire"	"Hill of Fare Wind Farm"	"Wind Onshore"	150	"Abandoned"	0
3968	"Aberdeenshire"	"Hill of Fiddes"	"Wind Onshore"	6.9	"Operational"	3
3762	"Aberdeenshire"	"Hill of Fishrie"	"Wind Onshore"	11.3	"Application Refused"	5
3166	"Aberdeenshire"	"Hill of Garvock Wind Energy Project"	"Wind Onshore"	15	"Application Withdrawn"	6
3287	"Aberdeenshire"	"Hill of Garvock Wind Energy Project (2)"	"Wind Onshore"	15	"Application Refused"	6
4495	"Aberdeenshire"	"Hill Of Rothmaise"	"Wind Onshore"	4.6	"Application Refused"	2
4170	"Aberdeenshire"	"Hill of Skilmafilly Cloffrickford (Denmore) Wind Farm"	"Wind Onshore"	6.9	"Operational"	3
3544	"Aberdeenshire"	"Hill of Snowy Slack"	"Wind Onshore"	22	"Application Withdrawn"	11
3683	"Aberdeenshire"	"Hill of Tillymorgan"	"Wind Onshore"	6	"Application Withdrawn"	3
3911	"Aberdeenshire"	"Hill of Tillymorgan (Kirkton Farm) Wind turbines (resubmission)"	"Wind Onshore"	9.6	"Operational"	3
