"REPD Ref ID","Status","Site Name","Technology","Capacity (MW)","Local Authority","LA Code"
6827,"Awaiting Construction","Lethans Wind Farm (resubmission)","Wind Onshore",105.5,"East Ayrshire","S12000008"
6828,"Awaiting Construction","Viking Wind Farm (resubmission)","Wind Onshore",443,"Shetland Islands","S12000027"
6838,"Awaiting Construction","Gaineamhach Hydro Scheme Powerhouse (resubmission)","Small Hydro",2,"Highland","S12000017"
7204,"Application Submitted","Kennoxhead Wind Farm Extension","Wind Onshore",40,"South Lanarkshire","S12000029"
7206,"Application Submitted","Clauchrie Windfarm","Wind Onshore",100,"South Ayrshire","S12000028"
7222,"Under Construction","Easter Bush","Solar Photovoltaics",3,"Midlothian","S12000019"
7232,"Awaiting Construction","Glaxosmithkline Shewalton Road","Solar Photovoltaics",19.9,"North Ayrshire","S12000021"
7259,"Awaiting Construction","Iron Mountain Building","Solar Photovoltaics",0.3,"West Lothian","S12000040"
7261,"Application Submitted","Hare Craig Windfarm","Wind Onshore",36,"East Ayrshire","S12000008"
7266,"Awaiting Construction","North Hoo Fields","Wind Onshore",0.9,"Shetland Islands","S12000027"
7274,"Under Construction","Alness Academy","Solar Photovoltaics",0.5,"Highland","S12000017"
7282,"Awaiting Construction","Blackbarn Farm","Small Hydro",1,"North Ayrshire","S12000021"
7287,"Awaiting Construction","Perth Wastewater Treatment Works","Solar Photovoltaics",0.4,"Perth and Kinross","S12000048"
7304,"Awaiting Construction","Deuchries Windfarm (extension)","Wind Onshore",2,"Aberdeenshire","S12000034"
7305,"Awaiting Construction","Garvie Burn","Small Hydro",0.4,"Argyll and Bute","S12000035"
7313,"Under Construction","Craig Farm","Small Hydro",0.4,"Argyll and Bute","S12000035"
7318,"Under Construction","Allt Eilidh","Small Hydro",0.6,"Highland","S12000017"
7328,"Under Construction","Allt an t-Sidhein Hydro Scheme","Small Hydro",0.5,"Highland","S12000017"
7337,"Application Submitted","Sheirdrim Renewable Energy Development - Wind","Wind Onshore",114,"Argyll and Bute","S12000035"
7340,"Application Submitted","Kilgallioch Windfarm (Extension)","Wind Onshore",62,"Dumfries and Galloway","S12000006"
7345,"Awaiting Construction","High Constellation Wind Farm","Wind Onshore",65,"Argyll and Bute","S12000035"
7347,"Under Construction","Aviva Headquarters","Solar Photovoltaics",1.8,"Perth and Kinross","S12000048"
7370,"Awaiting Construction","Southrigg 2 (Resubmission)","Wind Onshore",4.2,"North Lanarkshire","S12000050"
7376,"Awaiting Construction","Shewalton Road","Wind Onshore",3,"North Ayrshire","S12000021"
7398,"Application Submitted","Fell Wind Farm","Wind Onshore",49,"Dumfries and Galloway","S12000006"
7422,"Awaiting Construction","Easter Drumclair Wood (Resubmission)","Wind Onshore",4,"Falkirk","S12000014"
7454,"Application Submitted","Scoop Hill Wind Farm","Wind Onshore",525,"Dumfries and Galloway","S12000006"
7456,"Awaiting Construction","Hagshaw Hill (Repowering)","Wind Onshore",84,"South Lanarkshire","S12000029"
7459,"Application Submitted","Creag Dhubh","Wind Onshore",27,"Argyll and Bute","S12000035"
7463,"Awaiting Construction","Shetland Tidal Array (extension)","Tidal Barrage and Tidal Stream",1.4,"Shetland Islands","S12000027"
7472,"Application Submitted","Narachan Wind Farm","Wind Onshore",95.2,"Argyll and Bute","S12000035"
7476,"Application Submitted","Strathrory Wind Farm","Wind Onshore",44.8,"Highland","S12000017"
7511,"Application Submitted","Rigghill Wind Farm","Wind Onshore",42,"North Ayrshire","S12000021"
7512,"Awaiting Construction","Glenfiddich Distillery AD (Extension)","Anaerobic Digestion",2,"Moray","S12000020"
7526,"Awaiting Construction","Iron Mountain Howe Moss Drive","Solar Photovoltaics",0.3,"Aberdeen City","S12000033"
7531,"Awaiting Construction","Eden Campus","Solar Photovoltaics",1,"Fife","S12000047"
7562,"Awaiting Construction","Windy Rig Wind Farm (resubmission)","Wind Onshore",48,"Dumfries and Galloway","S12000006"
7568,"Application Submitted","Billia Croo Wave Test Site (Extension)","Shoreline Wave",20,"Orkney Islands","S12000023"
7584,"Application Submitted","Sheirdrim Renewable Energy Development - Solar","Solar Photovoltaics",20,"Argyll and Bute","S12000035"
7601,"Awaiting Construction","Tesco Extra Dumfries","Solar Photovoltaics",0.8,"Dumfries and Galloway","S12000006"
7608,"Awaiting Construction","Tesco Superstore Annan","Solar Photovoltaics",0.2,"Dumfries and Galloway","S12000006"
7638,"Awaiting Construction","Lochhead Steading Concrete Block Manufacturing Plant","Solar Photovoltaics",0.6,"Angus","S12000041"
7654,"Application Submitted","Cornharrow Wind Farm (Resubmission)","Wind Onshore",38.4,"Dumfries and Galloway","S12000006"
7674,"Awaiting Construction","East Ballochy (Resubmission)","Solar Photovoltaics",39.9,"Angus","S12000041"
7679,"Application Submitted","Draffanmarshill Farm","Wind Onshore",4.2,"South Lanarkshire","S12000029"
7687,"Application Submitted","Moorshield Wind Farm","Wind Onshore",15,"East Renfrewshire","S12000011"
